mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
1a,O=c1[nH]c(-c2ccccc2)nc2ccccc12,-6.8709472779764065,0.0546792144535764,-8.55056
1b,COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-9.201306630374754,0.05389285225840178,-9.93717
3a,CC(C)(C)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-11.637198939790885,0.05481543125950811,-10.9965
5a,CC(C)(O)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-10.54825854168389,0.04970212785150207,-10.7585
5b,CC(C)(O)c1ccc(-c2nc3cccc(F)c3c(=O)[nH]2)cc1,-11.091860190692472,0.05094990573207917,-10.4744
3b,CC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-11.559758349905744,0.04958458801855883,-11.5193
5d,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.68335608073088,0.04765125707648577,-10.8851
7,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)nc1,-8.452494885280347,0.0490926447161802,-8.39681
5c,CC(C)(O)c1ccc(-c2nc3cccc(Cl)c3c(=O)[nH]2)cc1,-10.798822951366374,0.052869232260345046,-9.96041
5j,CC(C)(O)c1ccc(-c2nc3ccc(F)c(F)c3c(=O)[nH]2)cc1,-11.379690754107038,0.04475247607522927,-11.0844
5n,CC(C)(OCCO)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.92135132116309,0.05856664829492624,-10.7146
5e,CC(C)(O)c1ccc(-c2nc3ccc(Cl)cc3c(=O)[nH]2)cc1,-9.876676221466193,0.03963169217480848,-10.1076
5k,CC(C)(O)c1ccc(-c2nc3c(F)cc(F)cc3c(=O)[nH]2)cc1,-10.73871669577891,0.04223962592797428,-10.9634
5p,COCCOC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-11.078608488526651,0.06027504316631618,-10.5033
5f,CC(C)(O)c1ccc(-c2nc3c(F)cccc3c(=O)[nH]2)cc1,-10.729332179116165,0.036083783155350185,-10.2631
5g,CC(C)(O)c1ccc(-c2nc3c(Cl)cccc3c(=O)[nH]2)cc1,-11.266552670109487,0.05063907208466613,-10.806
5h,COc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-9.96733023927417,0.054350773945626145,-10.0498
5i,Cc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-11.365189225859838,0.04880162166515087,-12.0789
5l,CC(C)(O)c1ccc(-c2nc3c(F)ccc(F)c3c(=O)[nH]2)cc1,-11.542910335978412,0.046423165678555436,-10.0926
5m,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-11.367956019582959,0.04638891257913769,-12.6889
5o_adjust,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)OCCO)cc3)nc12,-11.791032001235315,0.05371044933539046,-12.038
