mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
10,11,-0.06767236346613346,0.04672175330526183,2.242037800302859,0.04658442744827835,-0.6547000000000001,-2.3097101637689925,0.0659775045951395,-2.1778099005886027,0.05486687367563693
2,10,13.250284158463833,0.06994050838269686,19.090587757474385,0.06658915828062936,-3.182170000000002,-5.840303599010553,0.09657013365090057,-6.662745421791723,0.054407949687028584
2,7,8.084249130637646,0.06389889033004893,7.686388329369973,0.06285701026954721,-1.3966800000000008,0.3978608012676725,0.08963298458401116,0.3579004008661739,0.06565387210061438
2,8,12.897574897162443,0.0649435683137687,16.169695476613256,0.06514411858161123,-1.9184600000000005,-3.2721205794508124,0.0919859948638931,-2.483821366115894,0.0653287507815572
7,10,-9.327331997510518,0.07404139077202544,-2.9399087817100735,0.07269633933705441,-1.7854900000000011,-6.387423215800445,0.10376360296589521,-7.0206458226578965,0.05633416926138831
7,9 flip,24.283755605947125,0.07711639151347391,27.95863850584692,0.07627902678407453,0.7537000000000003,-3.674882899899794,0.10846855658293306,-3.041453628736714,0.07053511397844547
8,10,26.786911887868225,0.06624585896031099,32.058510807216564,0.06216747178009007,-1.2637100000000014,-5.27159891934834,0.09084772081300505,-4.178924055675829,0.055954922779374174
8,11,28.187553177228583,0.0594719220336911,34.27503422343658,0.057678477879838395,-1.9184100000000015,-6.087481046207991,0.08284754867174068,-6.356733956264431,0.06571144889949451
9 flip,10,-6.701564210663919,0.07851647304685014,-2.1828996957746787,0.07646777783448204,-2.5391900000000014,-4.51866451488924,0.10959998899023872,-3.9791921939211825,0.060207942759196616
9 flip,11,-6.2614690510518445,0.08351931245553998,0.013784576352312176,0.07918365402330108,-3.1938900000000015,-6.275253627404157,0.1150892115601109,-6.157002094509785,0.06936885111143075
