mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
11,12,3.692267490998971,0.04726495843206679,6.793844270600958,0.04804643206678467,1.0765999999999991,-3.101576779601986,0.0673975958765085,-3.0557569312105386,0.08030572062457471
11,24,11.183916497503075,0.0631535787942788,12.666348554740326,0.06192387235012101,0.49549999999999983,-1.4824320572372514,0.08844738821106739,-1.8280629073055952,0.08429769764913171
11,25,4.951461375252246,0.06412011672809138,5.5420874796540955,0.06371846845224045,0.08479999999999954,-0.5906261044018486,0.0903959766312817,-0.31202405726432225,0.07683210358146778
12,27,3.620116664079177,0.06521330661003087,4.072532603845769,0.06644078537085667,-0.14149999999999885,-0.45241593976659156,0.09309754733455729,-0.06589216416176669,0.08470216151073014
14,19,-1.0198003649359235,0.05231178573957024,0.7131599075639115,0.05354287278659323,-0.12980000000000036,-1.732960272499835,0.07485560869770555,-1.816791248192696,0.060536362065327316
14,20,9.120883204401755,0.049036189888370635,8.340382112960919,0.05195524788955889,1.0212900000000005,0.7805010914408355,0.07144155444861104,1.0549985798152361,0.05559904319221936
14,30,0.5300425349260374,0.055700514485814985,5.081521230305519,0.058166457456349234,-2.06142,-4.5514786953794815,0.08053498672630281,-4.801388114842814,0.054049819480810425
15,14,5.100018214723621,0.04072572663521736,-0.5599157043116222,0.04490479907826621,0.7477499999999999,5.659933919035243,0.060621990978735676,5.613533312577053,0.050681357546615034
19,30,9.087766743857637,0.053436133846143506,12.011993566307778,0.05484037814447604,-1.9316199999999997,-2.9242268224501404,0.07656949441815643,-2.9845968666501177,0.07037459975499606
22,28,-4.856958533494238,0.05414624093641468,-2.28212124840376,0.05392531525240603,-1.6167200000000008,-2.574837285090478,0.07641828990899786,-2.503581405086096,0.06916601701566409
22,29,3.434435687631333,0.05187812256477542,6.259983148308978,0.05335694282575133,-0.8336199999999998,-2.8255474606776443,0.07441977525198767,-3.0637639883740464,0.07464314038478548
22,31,5.530309529902331,0.051347158265954256,8.963801451757318,0.05278941033534747,-1.3177200000000013,-3.433491921854987,0.07364273559247134,-3.266397781602172,0.07677047503290635
