mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
10,COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2ccccn2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-9.346133299626558,0.0495543054708361,-10.806
11 (2cen),COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2cccnc2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-10.517780533303815,0.050549980867556056,-11.3247
17,COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2c(C)noc2C)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-11.0476363180644,0.056994321970126445,-11.4873
18,COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2cnccn2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-10.02546942776394,0.05382446926809329,-11.8386
12,COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2ccncc2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-9.72901523461185,0.055391589139911074,-11.2682
19,COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2ccc3c(c2)OCO3)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-11.109557669598463,0.0495303322706937,-10.8575
13,COC(=O)N[C@H](C(=O)NN(Cc1ccc(/C=C/c2ccccc2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-10.913773466986767,0.055211848069231774,-10.8575
20,COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2cc3ccccc3s2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-10.063368300909366,0.05713869875528575,-11.536
14,COC(=O)N[C@H](C(=O)NN(Cc1ccc(C#Cc2ccccc2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-13.675454178349494,0.05819785747869421,-10.6737
15,COC(=O)N[C@H](C(=O)NN(Cc1ccc(C#Cc2ccccn2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-13.550830748250393,0.057400886541094334,-10.9764
16,COC(=O)N[C@H](C(=O)NN(Cc1ccc(C#Cc2cccnc2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-13.655637943202343,0.06039954884105202,-11.0612
1,COC(=O)N[C@H](C(=O)NN(Cc1ccc(Br)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-11.292070461276067,0.040101272934157925,-11.7595
9,COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2ccccc2)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,-10.023172418056555,0.05295785777535421,-10.5033
