mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
"11, 3VHC","17, top conformer",-38.17325973162264,0.09296082815998903,-37.49900461412064,0.09143850792780081,-0.7330000000000005,-0.6742551175019993,0.13039446423929776,-0.05177444741749504,0.09107038210234537
13,"11, 3VHC",-10.441374404909356,0.0835679575497538,-9.008313898095242,0.08120311146184075,-0.9310999999999989,-1.4330605068141125,0.11652273958383225,-1.3833972790502962,0.09293095512712826
13,12,-5.249741007105878,0.07705548298382452,-6.19944687559697,0.0800973539526427,0.1053999999999995,0.9497058684910924,0.11114465154961527,0.5696531107970628,0.09461227230250552
13,9,8.290661663650747,0.08205496873081744,5.779026799649015,0.08444015654478684,1.5533000000000001,2.5116348640017323,0.11774191237925234,2.887436659597414,0.09076687635760257
"16, 3VHD",12,38.13955739497073,0.09226875903944758,36.770415095571856,0.09176764406627855,1.5825999999999993,1.3691422993988733,0.13013387104115065,2.581630305590375,0.07849184383025085
"16, 3VHD","17, top conformer",0.9648594507943594,0.07885983109873253,-0.18949319258858496,0.07776558829420738,-0.18689999999999962,1.1543526433829443,0.11075359896484081,0.5768054683255208,0.0857726002305949
"16, 3VHD",7,42.92797893142121,0.08886690387022507,39.848284542529896,0.08888208692191293,3.243080000000001,3.0796943888913066,0.12568751719671414,3.157777565510937,0.08779145435468011
18 minimized,"11, 3VHC",24.999182941044744,0.09109042836063033,26.828122074802543,0.08935481632457369,0.9826000000000015,-1.8289391337578014,0.1275999582261743,-1.8951017581024114,0.09344422347550338
18 minimized,"16, 3VHD",-1.7189911655163677,0.08087030963017615,0.7244360256183809,0.0773372456492684,0.43650000000000055,-2.4434271911347487,0.11189752698025031,-2.5236816738454273,0.08828899905984933
18 minimized,"17, top conformer",-2.5908422659706662,0.07955544481452273,-0.5131993284268891,0.07846535692186053,0.24960000000000093,-2.0776429375437773,0.1117402391106782,-1.9468762055199065,0.10120826029918656
"8, 3VHA","11, 3VHC",-14.58687128863169,0.06512311848621025,-10.8002690889086,0.06495795000651301,-2.0421999999999993,-3.78660219972309,0.0919812797824515,-3.473421860137952,0.07993434636859371
"8, 3VHA",9,4.5761805583682085,0.08123268088146368,3.791139607308125,0.07669835771881077,0.4421999999999997,0.7850409510600836,0.11172012585005611,0.7974120785097583,0.07740777191116081
9,12,-14.347169805929662,0.06499142229743841,-12.370915605595043,0.06434632646303669,-1.4479000000000006,-1.9762542003346188,0.09145673677500017,-2.3177835488003513,0.08185541226271001
9,7,-9.61681030786917,0.08274958962631918,-6.916964109673441,0.08398547148458992,0.21258000000000088,-2.699846198195728,0.11790273111261289,-1.7416362888797892,0.09081122412199721
lig_3B27,"16, 3VHD",33.10198738329334,0.08358798077180989,39.886512063880886,0.08366960602034387,-5.7008,-6.7845246805875465,0.11826898790937557,-6.282849148276401,0.08236465130578091
lig_3B27,7,65.1640730015632,0.07838955115662881,67.39606359711136,0.07709993529849143,-2.4577199999999992,-2.2319905955481723,0.1099514518029175,-3.1250715827654636,0.09789024920753416
lig_3B27,"8, 3VHA",68.6451361343202,0.07845863022160661,71.291543414821,0.07805986215145033,-3.1125,-2.646407280500816,0.11067564653235248,-2.1808473723954327,0.08560248603649212
