mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
"11, 3VHC",Cc1cc(C)c2cc1C(=O)NCCCOc1cccc(c1)Sc1cc-2nc(N)n1,-13.034173774492652,0.05823454921444444,-12.1947
"17, top conformer",Cc1cc(C)c2cc1C(=O)NCCCCNC(=O)CCSc1cc-2nc(N)n1,-13.085948221910147,0.07001822458515809,-12.9277
13,Cc1cc(C)c2cc1C(=O)NCCCCCOc1cccc(c1)Sc1cc-2nc(N)n1,-11.650776495442356,0.07242167975565586,-11.2636
12,Cc1cc(C)c2cc1C(=O)NCCCCOc1cccc(c1)Sc1cc-2nc(N)n1,-11.081123384645293,0.06088170802147948,-11.1582
9,Cc1ccc2cc1-c1cc(nc(N)n1)Sc1cccc(c1)OCCCCCO2,-8.763339835844942,0.054714953578391505,-9.7103
"16, 3VHD",Cc1cc(C)c2cc1C(=O)NCCCNC(=O)CCSc1cc-2nc(N)n1,-13.662753690235668,0.04954177203390901,-12.7408
7,Cc1ccc2cc1-c1cc(nc(N)n1)Sc1cccc(c1)OCCCO2,-10.504976124724731,0.07247725354516459,-9.49772
18 minimized,Cc1cc(C)c2cc1C(=O)NCCCCCNC(=O)CCSc1cc-2nc(N)n1,-11.13907201639024,0.0730791364120449,-13.1773
"8, 3VHA",Cc1ccc2cc1-c1cc(nc(N)n1)Sc1cccc(c1)OCCCCO2,-9.5607519143547,0.05475615953630021,-10.1525
lig_3B27,CSc1nc(N)nc(-c2ccccc2Cl)n1,-7.3799045419592675,0.06579930553176885,-7.04
