mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
cmpd 2 (methyl),cmpd 6 (ethyl),4.350710528119977,0.04734315298425316,4.108361643486561,0.043860638921037066,1.0,0.24234888463341595,0.06453781667403996,0.07228140359858504,0.05269213123444121
cmpd 2 (methyl),cmpd 3 (Allyl),4.238115633481655,0.05130034014951989,5.570371215870632,0.05191756546650602,2.5,-1.3322555823889775,0.072987385919934,-1.0710327484915565,0.05172123962485138
cmpd 2 (methyl),cmpd 7 (n-propyl),5.298382190519907,0.051850787343256946,6.623672650152013,0.05119505325688453,2.5700000000000003,-1.325290459632107,0.0728658879455325,-1.3688533238962224,0.054795502344792704
cmpd 3 (Allyl),cmpd 4 (Crotyl),1.6425316204040492,0.04002665036338244,5.274813927412736,0.04126329076630477,-1.5500000000000007,-3.6322823070086865,0.05748731950767122,-3.104367168707453,0.04953887085429214
cmpd 3 (Allyl),cmpd 6 (ethyl),1.8175892135210063,0.04660153729420896,0.6171918981475321,0.04687927891123163,-1.5,1.2003973153734744,0.06610121080147166,1.1433141520901415,0.04850084675566446
cmpd 3 (Allyl),cmpd 8 (n-Butyl),11.082930781138403,0.05806652660349591,13.021037768332354,0.057133598790780046,-0.5700000000000012,-1.9381069871939502,0.0814614609651725,-2.5860555186501557,0.04945221553846219
cmpd 5 (1-Butenyl),cmpd 7 (n-propyl),0.259085996498662,0.04732625107732705,-0.8920880393276837,0.04696074209387803,0.6200000000000001,1.1511740358263456,0.06667147320287686,1.42721581994582,0.05715172844400834
cmpd 5 (1-Butenyl),cmpd 8 (n-Butyl),7.763741267105302,0.051901379014885896,8.604373831265134,0.05155546678493747,-0.02000000000000135,-0.8406325641598312,0.07315544613396618,-0.8610191232996698,0.05597698783065358
cmpd 5 (1-Butenyl),cmpd 9 (methoxyethyl),-6.042432278986472,0.04942161214531748,-7.249961059055693,0.048319514365260725,0.41999999999999993,1.2075287800692205,0.06911780679055744,0.9290563920351183,0.05801997064299565
cmpd 6 (ethyl),cmpd 7 (n-propyl),1.7816683960549258,0.0414440280413272,3.0379030108305236,0.04138959216328327,1.5700000000000003,-1.256234614775598,0.058572227204821525,-1.4411347274948074,0.05176671309734986
cmpd 8 (n-Butyl),cmpd 4 (Crotyl),-8.618444007376374,0.05255548579977968,-8.836560870025423,0.05290518530997646,-0.9799999999999995,0.21811686264905011,0.07457236566137482,-0.5183116500572975,0.05146516566436553
cmpd 9 (methoxyethyl),cmpd 4 (Crotyl),4.857542305710083,0.049205546357759956,7.022888031038839,0.05306018830540537,-1.4200000000000008,-2.165345725328756,0.07236414426614012,-2.3083871653920855,0.05368013695662043
cmpd 9 (methoxyethyl),cmpd 8 (n-Butyl),12.302394063231977,0.04127646861312048,13.990739997617023,0.03975520949366237,-0.4400000000000013,-1.6883459343850462,0.05730814552098945,-1.790075515334788,0.05360017723688806
