mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
13 docked,12 docked,-0.09996402004041735,0.04960373944820931,0.17617689903743483,0.04709417842249501,1.30842,-0.2761409190778522,0.06839877636723943,-0.42266968203954924,0.06765862254753753
12 docked,11 docked,4.492696446116418,0.0594597914803676,3.221454781311989,0.05940135383644886,-2.36627,1.2712416648044291,0.08404753203093944,1.5174297864446018,0.07459706209332888
14 docked,11 docked,9.2350921071222,0.057775630213603234,10.316463189824193,0.05705987629937622,-0.10859999999999914,-1.0813710827019918,0.08120254263186061,-1.4382303778805774,0.07100455566528349
14 docked,12 docked,3.841493541973272,0.06500997500042646,7.363121350067073,0.06577802540825856,2.257670000000001,-3.521627808093801,0.09248267662738564,-2.955660164325179,0.06519716190091379
16 docked,17 torsion adjust,6.686451996996526,0.04523963975196587,7.558202360106106,0.04478003935674337,1.457699999999999,-0.8717503631095805,0.06365435515091748,-0.6647591256595842,0.061835865052974164
14 docked,13 docked,4.3410908340221726,0.06128594103445284,7.059281819913987,0.06249366942201146,0.949250000000001,-2.7181909858918147,0.08752956806877366,-2.53299048228563,0.06367585458632286
16 docked,19,-2.200349616986315,0.03943452002985682,-2.2513816510591593,0.04232776153662917,1.5321999999999996,0.051032034072844436,0.057850849316902195,-0.14806902809343825,0.05776824470157872
17 torsion adjust,15 docked,-8.397147105945406,0.06080924205458173,-8.602540021758147,0.0594478734697517,0.2801000000000009,0.20539291581274083,0.08504007043346284,0.5844646125361255,0.06769841789082634
18 docked,13 docked,-0.02434258984754123,0.05461020216554514,-1.2211554569359617,0.05692446701439559,-0.3712699999999991,1.1968128670884204,0.07888389648993463,0.8514955784243536,0.06188330214772753
18 docked,15 docked,-9.987740138595646,0.05329269084962141,-10.752280730910213,0.05411122558382804,-0.49421999999999855,0.764540592314568,0.07594824311448717,0.7337969016400905,0.06188114145490337
18 docked,19,-11.53627087337321,0.03517209842931609,-12.046100105270492,0.03648154983938922,-0.699819999999999,0.5098292318972828,0.0506752403704742,0.6660223866701109,0.0595377899592368
19,17 torsion adjust,9.170948397590333,0.04731611036819368,9.69384805858964,0.049225392002877656,-0.07450000000000045,-0.5228996609993081,0.06827849967751237,-0.5166900975661459,0.06556331710941259
20,11 docked,-3.7149399914032117,0.07097394474666907,-4.805395856997087,0.07056865841533468,-0.8963999999999999,1.0904558655938756,0.10008614481257343,1.2834764128374676,0.07570756824200256
20,15 docked,-17.0825849610291,0.059759171266452644,-17.500334482965393,0.061582749492753296,0.03850000000000087,0.41774952193629156,0.08581138377593282,0.07101763164815189,0.06887914055972597
21 (Xtal),14 docked,0.4209330711251498,0.0621417168095987,-0.121273775593545,0.06345105299100506,2.1984999999999992,0.5422068467186949,0.08881232512276487,0.8617666805127921,0.06664613313647388
21 (Xtal),16 docked,-2.816847135535201,0.054712864054721734,-1.6757693326167604,0.05493941076675262,1.2870000000000008,-1.1410778029184405,0.0775360325814291,-1.7086279654336423,0.06331711737061542
21 (Xtal),22,-2.5857776023927403,0.04649631815678857,-2.355367859531238,0.04550088560931541,0.0,-0.23040974286150212,0.06505565458412751,-0.002328486568895727,0.07168479777974662
22,14 docked,2.686045748235713,0.06846116067093255,2.387992642395053,0.06691170112136637,2.1984999999999992,0.2980531058406601,0.09572933859254593,0.8640951670816879,0.06651765436995587
22,16 docked,-1.064291628310693,0.06488124473629214,0.5779443900752556,0.06264619171213526,1.2870000000000008,-1.6422360183859486,0.09018936331166909,-1.7062994788647465,0.06318186949561239
24 pose 2,14 docked,1.5303288013810397,0.0658146631490636,-10.149350641481544,0.06599427794387644,2.3072,11.679679442862584,0.09320308260330411,11.105856645232581,0.06677792031479822
24 pose 2,16 docked,-4.692116583734346,0.07533984408964554,-12.163039276638127,0.07525852452323366,1.3957000000000015,7.47092269290378,0.10648914320655538,8.535461999286147,0.06345581873752183
24 pose 2,20,13.40817572275156,0.05614751795711589,4.84836158730362,0.056232712906850356,3.0950000000000006,8.559814135447942,0.07946484614978441,8.384149854514536,0.07175848106992422
