mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
1a pose 2,2a pose 2,2.510318682460135,0.04027772179922197,4.678313634069541,0.04203052372430423,0.7928199999999999,-2.167994951609406,0.0582139141260474,-2.4419029659930898,0.052774653954974306
1a pose 2,1d pose 2,-0.3138426198797872,0.0609898086727379,2.8288879607041957,0.062448890038207014,-1.1919900000000005,-3.142730580583983,0.08729043835919972,-3.358563997386004,0.05496139777597714
1a pose 2,6b pose 2,1.9434897789443017,0.0512572743993994,4.938211769629644,0.05271397659883668,-1.6275999999999993,-2.994721990685343,0.07352599205531352,-2.5518708683638076,0.05310577243620485
1a pose 2,6d pose 2,-14.828481709967551,0.0514687039993047,-13.84428400172606,0.05129533821639723,-1.3236100000000004,-0.9841977082414923,0.07266525451756586,-1.1865650441763123,0.06039226254669574
1b pose 2,1d pose 2,-0.9009743129699952,0.04387210911737347,1.151768513500302,0.044559457576953315,0.6547699999999992,-2.0527428264702974,0.06253244932000528,-1.887445170392386,0.06051981610657739
1c pose 2,1d pose 2,-0.8849997075129834,0.036763556938138056,0.7693876392578529,0.03740684885095697,-0.0216700000000003,-1.6543873467708363,0.05244836946657217,-1.692751235483927,0.06326443528791811
1c pose 2,2a pose 2,1.9584547943810624,0.0441078149331462,2.7303211409099557,0.04514697393842927,1.96314,-0.7718663465288933,0.06311694379462528,-0.7760902040910125,0.06137424237314282
2a pose 2,1b pose 2,-1.9258906902942754,0.03913436455178924,-3.1514150617234895,0.0397417154754012,-2.6395799999999996,1.2255243714292143,0.05577546447856872,0.9707841389994716,0.058541071019857886
2b pose 1,3a xtal pose,-0.3144956625058528,0.043193396822871724,-0.6028245880218476,0.04060698321526019,-0.8348000000000004,0.2883289255159947,0.05928403338962767,0.5020215486287798,0.07776221192224843
2b pose 1,3b pose 1,8.389101518393451,0.045363208082132025,8.01394788529601,0.042895522491115355,0.030750000000000277,0.3751536330974406,0.0624327357825091,0.2344969970885602,0.08324208570256264
2b pose 1,6a pose 1,-4.589614748535713,0.0579515348979838,-2.9509622415008594,0.05463562561937138,-2.6252000000000004,-1.638652507034853,0.0796456651918505,-1.9851975262459973,0.07786212752708636
2b pose 1,7e pose 1,-5.927493981381613,0.04999721109549844,-6.261856328866451,0.051080372021125586,1.63091,0.33436234748483734,0.07147674812933519,0.4871947812271378,0.07981510020334319
2c pose 2,1a pose 2,17.18375920227753,0.03189448141657019,15.998721756563535,0.033365128694369695,-0.1236600000000001,1.1850374457139925,0.0461572286605662,0.872272598734301,0.04629465222842075
2c pose 2,1b pose 2,16.745918805000727,0.04541241550178902,17.829745561716518,0.044275063270318854,-1.9704199999999998,-1.0838267567157895,0.06342372355276743,-0.5988462282593172,0.052773930316352045
2d pose 2,1a pose 2,13.885562928916436,0.03358114501451621,14.702191727404928,0.03566791188391589,-0.7784300000000002,-0.8166287984884918,0.04898870521502639,-0.6490412012710101,0.04984480132652628
2d pose 2,2c pose 2,-3.8914606250108816,0.03780353651457076,-2.448710299013809,0.03956014625377746,-0.6547700000000001,-1.4427503259970726,0.05471848448768247,-1.521313800005311,0.053947830675167445
2d pose 2,7a pose 2,25.51470944027057,0.05351636051333527,27.275146442794757,0.053113771010503824,-0.9937900000000006,-1.7604370025241871,0.07539942648024259,-2.0082604565884328,0.06335489272504964
3b pose 1,3a xtal pose,-2.0815719587771784,0.04449582650899666,-2.627860528386174,0.042985979062243516,-0.8655500000000007,0.5462885696089955,0.06186819031342656,0.2675245515402196,0.08234411805781239
5,1b pose 2,-4.437762521688605,0.04184100056026908,-1.8870557717210845,0.04319184770111431,-2.4624299999999995,-2.550706749967521,0.06013489033598291,-2.5399324938380357,0.05253963910474165
5,1c pose 2,-3.8820059721535016,0.04474943153074695,-1.2071125329105772,0.04447411384932046,-1.78599,-2.6748934392429247,0.06309087434017163,-2.7346264287464948,0.05567902933763961
5,3a xtal pose,-1.7794723421214065,0.04281623952648592,-0.061300585515244164,0.04462945716762025,-1.32681,-1.7181717566061625,0.06184673648840225,-1.6721677854594317,0.0648767350531589
6a pose 1,6c pose 1,5.5553834525608785,0.05056759432818867,4.791874271143396,0.04991378113510725,0.8964300000000005,0.7635091814174829,0.07105256605741729,0.3502199816802225,0.07795373610619818
6a pose 1,6e pose 1,2.6278475608602934,0.04451849472349343,2.0675644212155566,0.0437909386454596,1.2636800000000008,0.5602831396447371,0.06244631838544301,0.9264167294630461,0.07346749751839882
6c pose 1,6e pose 1,-1.8623631968891774,0.03810141195519099,-2.692028728756222,0.039561999346971466,0.3672500000000003,0.8296655318670448,0.054926035587041434,0.5761967477828236,0.07446401154166166
6d pose 2,6b pose 2,23.4610566427637,0.04365960262299282,24.397864186567553,0.04654087055985836,-0.30398999999999887,-0.9368075438038497,0.06381389765299667,-1.3653058241874954,0.06892109859745595
7a pose 2,6b pose 2,-2.508166012556053,0.036588560797024536,-1.2525632160103441,0.03690759432410073,-1.4122399999999988,-1.255602796545709,0.05197011929936233,-1.192651613046385,0.06595120377193768
7a pose 2,6d pose 2,-25.39101192091639,0.048540496574825745,-25.878133629662116,0.0484191724421056,-1.10825,0.4871217087457251,0.06856089313675127,0.17265421114111046,0.07194833971976491
7b,1a pose 2,-4.733170718644232,0.0495131784061247,-3.384509412514352,0.050495125828895,0.0,-1.3486613061298798,0.07071995876944974,-1.306827461173996,0.04945178449275113
7b,1b pose 2,-3.8893624106211617,0.05069108772429757,-1.1083338604243769,0.04948032926283764,-1.8467599999999997,-2.781028550196785,0.07083706204121723,-2.7779462881676142,0.05556412408742048
7b,7f,-10.640213170762841,0.04425496200482871,-8.900953448998191,0.041937209292717936,1.28653,-1.7392597217646506,0.0609691002501272,-1.7726361026235207,0.06279886332887874
7c pose 1,1a pose 2,-4.106761040203951,0.04901713398007941,-4.611774381916735,0.049187610263975674,0.5991900000000001,0.5050133417127847,0.06944134522819831,0.343734929609953,0.05172923997212092
7c pose 1,6c pose 1,-0.40257118307605705,0.05551313114807649,1.9808940321077695,0.05502606355307137,-1.0059199999999997,-2.3834652151838265,0.07816377293868425,-2.396618282199616,0.07020932531611224
7c pose 1,6e pose 1,-2.4324966054383377,0.05067886021796775,-0.6633901993296777,0.051268998658028704,-0.6386699999999994,-1.7691064061086599,0.07208923009985099,-1.8204215344167922,0.06519231227717596
7c pose 1,7f,-10.745847546018414,0.05631727559425423,-10.335178612700947,0.0563463456626963,1.88572,-0.41066893331746745,0.0796652132357608,-0.12207371183957161,0.06460752675946481
7e pose 1,3b pose 1,14.266609425983026,0.050461256788461896,14.336001513092741,0.04942207163916026,-1.6001599999999998,-0.0693920871097169,0.07063200125847618,-0.2526977841385776,0.08428548152646446
7e pose 1,6a pose 1,1.4439133835122955,0.05126413088812712,4.258520995851509,0.050059094645649,-4.2561100000000005,-2.8146076123392127,0.07165140663278756,-2.472392307473135,0.07897663241161564
7f,1a pose 2,6.071875139438229,0.05250821148024775,5.8100247805587815,0.05321380672396777,-1.28653,0.26185035887944735,0.07475842092306538,0.4658086414495246,0.056705809716081565
