mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
16,CNC(=O)c1ccc2[nH]nc(Cc3cccc(C)c3)c2c1,-8.81095435206714,0.0804412493996691,-9.292698790319301
13,Cc1cccc(Cc2n[nH]c3cc(O)c(C(=O)N4CC[C@H](O)C4)cc23)c1,-11.060071076826729,0.08196010254116232,-11.286296985191486
14,CNC(=O)c1ccc2[nH]nc(CC(C)C)c2c1,-4.871907140117613,0.07935634700503469,-8.340263907163816
15,CNC(=O)c1ccc2[nH]nc(Cc3ccc(OC)c(OC)c3)c2c1,-7.814609261692204,0.08055109208877148,-7.690060315684702
17,CNC(=O)c1ccc2[nH]nc(Cc3ccc4cnn(C)c4c3)c2c1,-7.2736935021622875,0.0854683760718953,-8.995217840604221
18,CNC(=O)c1ccc2[nH]nc(Cc3ccc4c(cnn4C)c3)c2c1,-8.89864106614316,0.062002600873266374,-10.981760748851649
19,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-9.44769165059492,0.04383023950370516,-10.740036739237453
45,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc5c(cnn5C)c4)c3c2)C1,-10.745483880906642,0.08634001274298103,-11.1943977818631
25,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(NS(C)(=O)=O)cc34)cc2)cn1,-9.534548904310483,0.07431560634908888,-9.796660111494502
27,CC(=O)NCCNc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-6.326831025774603,0.07670999205077707,-8.466238942666878
36,COC1CN(C(=O)c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)C1,-11.955950057365438,0.07467186742861077,-11.286296985191486
39,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCOCC5)cc34)cc2)cn1,-13.787780559074907,0.07010752381884143,-11.52802099480568
20,CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(CC(C)(C)O)c4)cc3)c2c1,-10.321840767359564,0.0663852747271492,-10.701561147153257
23,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5cc(N)ccn5)cc34)cc2)cn1,-8.665358229143672,0.05843565271548393,-9.016898948530432
32,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(N)=O)cc34)cc2)cn1,-8.772522142507324,0.05558053580637544,-9.552220084600169
21,Cn1cnc(-c2ccc3[nH]nc(Cc4ccc(-c5cnn(C)c5)cc4)c3c2)c1,-6.75754084985481,0.07490170038962063,-9.757164562340556
26,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCCC5=O)cc34)cc2)cn1,-8.04368952480572,0.07882714047199152,-10.218113127924871
22,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(-c5nccn5C)cc34)cc2)cn1,-11.433488998191741,0.08324564149801794,-10.288331223327047
34,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(F)(F)C5)cc34)cc2)cn1,-13.385152003195751,0.08349150126454455,-11.1943977818631
24,CC(=O)Nc1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,-8.306789361593664,0.06912213772239044,-10.347017725892353
28,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(N5CCOCC5)cc34)cc2)cn1,-7.131987161326146,0.06627769212412471,-6.208646534591875
29,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(S(=O)(=O)NC5CC5)cc34)cc2)cn1,-10.609625886010233,0.07000374676242808,-9.258622958144626
37,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCC5)cc34)cc2)cn1,-13.599239305627641,0.08044087365911326,-11.52802099480568
30,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)cc2)cn1,-13.430887059833061,0.06617743639098483,-11.699526909017699
31,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC[C@@H](O)C5)cc34)cc2)cn1,-13.8827845509353,0.07480342664154997,-11.941250918631892
42,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC[C@H](O)C5)cc34)ccc21,-12.441375454712247,0.07304484767554535,-11.52802099480568
38,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)cc2)cn1,-12.660641985437048,0.06285768028096027,-11.394990672677858
33,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)NC5CC5)cc34)cc2)cn1,-8.911792621784636,0.06966430755265283,-11.11479107097947
35,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)cc2)cn1,-12.32588356469235,0.07655224629602955,-11.52802099480568
40,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCNCC5)cc34)cc2)cn1,-13.925344726331254,0.06661998673679029,-11.1943977818631
41,Cn1cc(-c2ccc(Cc3n[nH]c4ccc(C(=O)N5CCCCC5)cc34)cc2)cn1,-13.231429204353272,0.06729163421339196,-11.286296985191486
43,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CCC(F)(F)C5)cc34)ccc21,-11.690519578330923,0.09251517653867039,-11.941250918631892
44,Cn1ncc2cc(Cc3n[nH]c4ccc(C(=O)N5CC(O)C5)cc34)ccc21,-12.769458020596167,0.08996258761256011,-11.52802099480568
