mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
CHEMBL1077227,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1cccs1,-8.379057914083436,0.06523791951704336,-11.394990672677858
CHEMBL1086410,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,-8.22642448816731,0.06220539492130232,-11.52802099480568
CHEMBL1077204,C[NH+](C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-19.58625060717704,0.08153408467620164,-11.11479107097947
CHEMBL1084676,C[NH+](C)CCOC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-16.780542261550604,0.08534949534982052,-10.781167858036888
CHEMBL1082248,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,-9.075001844826227,0.06719267777204792,-11.699526909017699
CHEMBL1085666,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-8.01547012024793,0.0715335912380064,-10.568530825025436
CHEMBL1082249,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,-8.480320876275885,0.05672698502371304,-11.286296985191486
CHEMBL1085692,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,-4.716502415610146,0.06763349528112769,-11.394990672677858
CHEMBL1084935,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1,-7.325824759797026,0.071629348051152,-10.599110079658544
CHEMBL1096002,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1,-9.36108976062724,0.03761390148688028,-11.1943977818631
CHEMBL1083517,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)cc1,-11.01257678753342,0.05752448936903758,-11.52802099480568
CHEMBL1083836,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1,-9.176399739611602,0.05453256205191589,-10.924940178206626
CHEMBL1096003,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1,-14.333260506538123,0.06699911237140678,-11.941250918631892
CHEMBL1084143,CC(C)c1ccc2c(c1)[C@H]1O[C@@H](CNS(=O)(=O)CCC[NH+](C)C)CC[C@H]1[C@H](c1ccccc1)N2,-16.795573023603506,0.0803649074018443,-11.941250918631892
CHEMBL1084431,Cc1ccc(C(=O)N(CC[NH3+])C[C@H]2CC[C@@H]3[C@H](O2)c2cc(C(F)(F)F)ccc2N[C@H]3c2ccccc2)cc1,-9.547109420980561,0.08182496754940018,-9.865858249826928
CHEMBL1084677,C[NH2+]CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,-16.316590366603883,0.0629639381911902,-11.52802099480568
CHEMBL1084678,CN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1)S(=O)(=O)CCC[NH3+],-16.120770355285597,0.07807456619267485,-11.1943977818631
CHEMBL1086409,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(F)cc1,-9.413483384616317,0.05171223834787821,-9.933787802066142
CHEMBL1093087,[NH3+]CCN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1)c1ccccc1,-8.356213135294661,0.08298219482415671,-10.599110079658544
