mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
10,CC1([NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)cn2)CC1,-8.35735182317549,0.061515241367126126,-7.198715959005226
Example 23,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2Cl)CC1,-9.078959928116662,0.05502477469982573,-8.794624949789464
11,CNc1nc(N2CCC(C)([NH3+])CC2)cnc1-c1cccc(Cl)c1Cl,-7.108437343206692,0.06302882838424184,-6.393549973561046
4,C[C@@H]1CN(c2ncc(-c3ccc(Cl)c(Cl)c3)c(N)n2)C[C@H](C)[NH2+]1,-6.937852872531455,0.0923211683764137,-5.85822883749131
Example 27,C[C@@H]1CN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)C[C@H](C)[NH2+]1,-6.536207563862365,0.09142971020624134,-8.571436052611682
3,C[C@@H]1CN(c2ncc(-c3cccc(Cl)c3)c(N)n2)C[C@H](C)[NH2+]1,-6.983394084622709,0.09395266847978412,-5.496872030506449
6,Nc1nc(N2CCC([NH3+])CC2)ncc1-c1cccc(Cl)c1Cl,-7.166432413766619,0.05420511783059981,-8.07990823239426
Example 14,Nc1nc(N2CC[C@@H](C[NH3+])C2)cnc1-c1cccc(Cl)c1Cl,-13.139532941891542,0.10047328157269529,-9.838959036273334
7,C[NH+](C)C1CCN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-6.582599560681291,0.05272756826305389,-7.120418062614016
Example 1,CC1([NH3+])CCN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-6.901330661152239,0.050866493158928286,-9.044002013945084
Example 3,CC1([NH3+])CCN(c2ncc(-c3ccc(Cl)s3)c(N)n2)CC1,-8.627951035225015,0.07043724549897153,-8.266899816271843
Example 5,COc1cc(Cl)c(Cl)c(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)c1,-5.484707109877726,0.053468264740141276,-7.610066223591126
Example 4,Cc1ccc(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)s1,-8.219977639571981,0.06396779250221933,-8.252025911423278
Example 22,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2Br)CC1,-8.494787776868058,0.04371842239894173,-9.296215996756242
Example 24,Cc1nc(-c2cccc(Cl)c2Cl)c(N)nc1N1CCC(C)([NH3+])CC1,-7.671514565449931,0.06250114218744622,-9.133594967736435
Example 25,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2C#N)CC1,-7.424708300325265,0.07424344187544399,-8.924999745202046
Example 26,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2C(N)=O)CC1,-8.442314166924556,0.0629506465462494,-9.014695009747355
Example 28,CC1([NH3+])CCN(c2cnc(-c3cccc4cc[nH]c34)c(N)n2)CC1,-9.13532313531196,0.08050823813947773,-8.509880232593108
Example 9,Nc1nc(N2CCC(C[NH3+])CC2)cnc1-c1cccc(Cl)c1Cl,-13.908281987512924,0.054499098285608796,-8.848714295063584
Example 29,CC1([NH3+])CCN(c2cnc(C3=CCCCC3)c(N)n2)CC1,-8.726559493506171,0.0661283025325899,-7.670127680361708
Example 2,Cc1cccc(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)c1Cl,-5.852659549796628,0.0432486121723713,-8.32762389808908
Example 30,CC1([NH3+])CCN(c2nnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-9.137456981195317,0.04290404614840922,-9.21396943759527
Example 6,CC1([NH3+])CCN(c2ncc(-c3cc(O)cc(Cl)c3Cl)c(N)n2)CC1,-7.066127599489822,0.048055289346077654,-9.125592636016805
Example 8,CC1(C[NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-13.187763011718445,0.06222958009918763,-9.772650232006121
SHP099-1/Example 7,CC1([NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-9.217927520968107,0.044202561659043564,-9.81322130871472
SHP836-2,C[C@@H]1CN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)C[C@H](C)[NH2+]1,-5.541740253157531,0.0879235334463859,-6.754906780545908
