mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
CHEMBL3259820,CHEMBL3265019,6.978170976109875,0.06251039754881196,7.960593664324686,0.06297362984547286,-0.9824226882148108,0.08873121129357553,-0.20261722132296622
CHEMBL3264999,CHEMBL3265004,19.9064760562085,0.059720210843642464,20.620496502522464,0.06137319540365401,-0.7140204463139628,0.08563394594005469,0.5599657866115306
CHEMBL3264999,CHEMBL3265002,16.079737459544013,0.06377585906156442,16.592609886110257,0.06301268652257865,-0.5128724265662452,0.08965466447337413,0.8016897962257247
CHEMBL3264996,CHEMBL3265003,6.4026074304773655,0.06585966319832731,8.355355125188026,0.06437946125840488,-1.9527476947106612,0.0920989156750478,-0.15602024454645136
CHEMBL3264999,CHEMBL3265006,-3.866358044736597,0.07805562711386639,-6.768403226884336,0.07521202685682069,2.9020451821477393,0.10839524854923333,1.4650152881562122
CHEMBL3264996,CHEMBL3265006,-15.360393719323849,0.07793820715021481,-18.138647678006627,0.0759541874500186,2.7782539586827784,0.10882739877890289,0.7122497251244222
CHEMBL3265002,CHEMBL3264996,-6.0640808069503125,0.06363086185709532,-6.876785015275183,0.0625462518842128,0.8127042083248706,0.08922398895723135,-0.04892423319393453
CHEMBL3265002,CHEMBL3265003,0.09555561852750082,0.04728587763550691,1.8840625531536785,0.04763866865967342,-1.7885069346261777,0.06712225395072996,-0.20494447774038588
CHEMBL3265002,CHEMBL3265004,4.444596668954842,0.048775623047545846,4.189736822995284,0.04887231068378528,0.25485984595955863,0.06904754995833465,-0.24172400961419407
CHEMBL3265003,CHEMBL3265004,3.668655363229631,0.04789144726547641,2.2359059541322224,0.04903922272571469,1.4327494090974087,0.06854513904518802,-0.036779531873808176
CHEMBL3264999,CHEMBL3265008,-2.9955117480676923,0.07243095720223479,-5.339944625097285,0.06852527083620921,2.344432877029593,0.0997093591615541,1.639778132435602
CHEMBL3265008,CHEMBL3265005,-1.1743239042155702,0.04737328715580209,-1.2511114908036414,0.046513579479365345,0.07678758658807117,0.06639082325087799,-0.5422872709712577
CHEMBL3265008,CHEMBL3265009,6.379944087512898,0.03817018655511429,6.726712928936759,0.03681047565941696,-0.3467688414238601,0.05302805163236488,-0.5164565984060626
CHEMBL3265008,CHEMBL3265006,5.699873838008239,0.05954185947324383,6.126463647506217,0.05605657978613148,-0.4265898094979777,0.08177758352293396,-0.17476284427938982
CHEMBL3265006,CHEMBL3265011,2.3013221775902855,0.06640484138564888,-0.8155209894676135,0.06312454236005176,3.116843167057899,0.09162047155313684,1.3283567995406866
CHEMBL3265008,CHEMBL3265011,7.73494511398372,0.057608910906811715,5.070739133056368,0.05464792457066852,2.6642059809273517,0.07940517789004976,1.1535939552612968
CHEMBL3265012,CHEMBL3259820,-0.13026880158044646,0.03891230846083164,-0.6548875771709045,0.03868075521142255,0.5246187755904581,0.05486682580099657,-0.029567948602893968
CHEMBL3265012,CHEMBL3265013,8.302184756786671,0.038388710330283224,7.0557751044691335,0.03653313022489471,1.2464096523175385,0.05299398725187141,0.737624395793219
