mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
CHEMBL3259820,COc1ccc(Nc2nc(-c3ccc(C(N)=O)cc3)cn3ccnc23)cc1OC,-11.104903411058274,0.05995043748302887,-10.64136286343957
CHEMBL3265019,COc1ccc(Nc2nc(-c3ccc4nn[nH]c4c3)cn3ccnc23)cc1OC,-12.343424826643638,0.056037325091686026,-10.843980084762535
CHEMBL3264999,COc1ccc(Nc2nc(-c3cccc(C(=O)Nc4ccc(C(N)=O)cc4)c3)cn3ccnc23)cc1OC,-13.072014316252616,0.08655278286798061,-11.484905964818156
CHEMBL3265004,COc1ccc(Nc2nc(-c3cccc(C(=O)Nc4ccc(-c5cn[nH]c5)cc4)c3)cn3ccnc23)cc1OC,-13.71670125090435,0.09737492584913522,-10.924940178206626
CHEMBL3265002,COc1ccc(Nc2nc(-c3cccc(C(=O)Nc4ccc(-c5ncc[nH]5)cc4)c3)cn3ccnc23)cc1OC,-13.76233308637602,0.09169678833100241,-10.683216168592432
CHEMBL3264996,COC(=O)c1ccc(NC(=O)c2cccc(-c3cn4ccnc4c(Nc4ccc(OC)c(OC)c4)n3)c2)cc1,-13.199402138266507,0.10449612721438031,-10.732140401786365
CHEMBL3265003,COc1ccc(Nc2nc(-c3cccc(C(=O)Nc4ccc(-c5ccn[nH]5)cc4)c3)cn3ccnc23)cc1OC,-15.311222270818005,0.0980289860397962,-10.888160646332818
CHEMBL3265006,CNC(=O)c1cccc(-c2cn3ccnc3c(Nc3ccc(OC)c(OC)c3)n2)c1,-10.570626958106448,0.0803189266760173,-10.019890676661944
CHEMBL3265008,COc1ccc(Nc2nc(-c3ccc(F)c(C(N)=O)c3)cn3ccnc23)cc1OC,-10.263081604303357,0.057311150474037675,-9.845127832382554
CHEMBL3265005,COc1ccc(Nc2nc(-c3cccc(C(N)=O)c3)cn3ccnc23)cc1OC,-10.120423422617831,0.05692923951313482,-10.387415103353812
CHEMBL3265009,COc1ccc(Nc2nc(-c3ccc(C)c(C(N)=O)c3)cn3ccnc23)cc1OC,-10.328087155706175,0.06702059065673895,-10.361584430788616
CHEMBL3265011,COc1ccc(Nc2nc(-c3cc(C(N)=O)ccc3C)cn3ccnc23)cc1OC,-7.696550004964806,0.06999751182430033,-8.691533877121257
CHEMBL3265012,COc1ccc(Nc2nc(-c3ccc(C(N)=O)c(F)c3)cn3ccnc23)cc1OC,-11.6774941256155,0.06256587258655529,-10.611794914836675
CHEMBL3265013,COc1ccc(Nc2nc(-c3ccc(C(N)=O)c(C)c3)cn3ccnc23)cc1OC,-10.457169041836604,0.0570661860285642,-9.874170519043457
CHEMBL3265022,COc1ccc(Nc2nc(-c3ccc4cnn(C)c4c3)cn3ccnc23)cc1OC,-10.353619411325562,0.049818672441404616,-10.85834619586086
CHEMBL3265025,COc1ccc(Nc2nc(-c3ccc4c(c3)OCC(=O)N4)cn3ccnc23)cc1OC,-11.582830360528675,0.0490096520768984,-10.262803449904027
CHEMBL3265014,COc1ccc(Nc2nc(-c3ccc(C(N)=O)c(OC)c3)cn3ccnc23)cc1OC,-11.113786236432547,0.07615788579141705,-10.464825993110997
CHEMBL3265010,COc1ccc(Nc2nc(-c3ccc(OC)c(C(N)=O)c3)cn3ccnc23)cc1OC,-11.515044179610308,0.07118169396665684,-10.195368389454524
CHEMBL3265015,COc1ccc(Nc2nc(-c3ccc(C(N)=O)cc3C)cn3ccnc23)cc1OC,-9.679566098234487,0.07411282703287876,-9.536178809338146
CHEMBL3265016,COc1ccc(Nc2nc(-c3ccc4cc[nH]c4c3)cn3ccnc23)cc1OC,-9.695493726793872,0.050619035758119615,-11.762339135743344
CHEMBL3265017,COc1ccc(Nc2nc(-c3ccc4cn[nH]c4c3)cn3ccnc23)cc1OC,-10.473086162178703,0.04107142545752853,-11.558600249438788
CHEMBL3265023,COc1ccc(Nc2nc(-c3ccc4c(cnn4C)c3)cn3ccnc23)cc1OC,-11.892482936339308,0.06740789656253791,-10.542289509013521
CHEMBL3265021,COc1ccc(Nc2nc(-c3ccc4[nH]ncc4c3)cn3ccnc23)cc1OC,-11.41470223763433,0.04784589813979768,-10.958378741734993
CHEMBL3265018,COc1ccc(Nc2nc(-c3ccc4nc[nH]c4c3)cn3ccnc23)cc1OC,-11.741240511247812,0.060699623296479155,-11.257210008588746
CHEMBL3265020,COc1ccc(Nc2nc(-c3ccc4[nH]ccc4c3)cn3ccnc23)cc1OC,-10.179612076406608,0.043650484036980845,-11.071676040991944
CHEMBL3265024,COc1ccc(Nc2nc(-c3ccc4c(c3)NC(=O)CO4)cn3ccnc23)cc1OC,-11.092672743463359,0.05872997019047232,-11.857929773539972
CHEMBL3265026,COc1ccc(Nc2nc(-c3ccc4c(c3)NCCO4)cn3ccnc23)cc1OC,-9.407777843583629,0.06026633813977186,-11.431878607999886
CHEMBL3265027,c1ccc(Nc2nc(-c3ccc4cn[nH]c4c3)cn3ccnc23)cc1,-8.945972903271771,0.06678897756480161,-10.394051514316267
CHEMBL3265028,COc1cccc(Nc2nc(-c3ccc4cn[nH]c4c3)cn3ccnc23)c1,-10.351607282851774,0.06052696327079611,-11.078648807751966
CHEMBL3265029,COc1ccc(Nc2nc(-c3ccc4cn[nH]c4c3)cn3ccnc23)cc1,-9.443592986377174,0.0665043277597312,-11.1943977818631
CHEMBL3265030_n,CC1(O)CN(c2ccc(Nc3nc(-c4ccc5cn[nH]c5c4)cn4ccnc34)cc2)C1,-9.788916879769147,0.08300995313080428,-11.543114579773224
CHEMBL3265035,CN(CCO)c1ccc(Nc2nc(-c3ccc4cn[nH]c4c3)cn3ccnc23)cc1,-10.146246637736855,0.08235330276306131,-11.145370325612575
CHEMBL3265031,CC1(O)CCN(c2ccc(Nc3nc(-c4ccc5cn[nH]c5c4)cn4ccnc34)cc2)CC1,-10.140252824399498,0.08108991524239104,-12.153887951643345
CHEMBL3265037,COc1cc(Nc2nc(-c3ccc4cn[nH]c4c3)cn3ccnc23)ccc1N1CCOCC1,-10.926312452314724,0.06913724808597187,-12.843920517767115
CHEMBL3265032,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,-9.830932325125211,0.08279569027973459,-11.137577211218078
CHEMBL3265033,O=S1(=O)CCN(c2ccc(Nc3nc(-c4ccc5cn[nH]c5c4)cn4ccnc34)cc2)CC1,-10.614207573293633,0.08846668409605196,-11.912163942029151
CHEMBL3265034,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(C4CCOCC4)cc3)c2n1,-9.259798121188416,0.07812055494781149,-11.558600249438788
CHEMBL3265036,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCCOCC4)cc3)c2n1,-9.97921660246026,0.09438825139675125,-10.482623277777673
