mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
2aa,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CO)CO)nc21,-9.239775652735464,0.06506706046423796,-9.27
2v,CNc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-8.886458944099806,0.07638303930267323,-8.97
2y,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NCC(C)(C)O)nc21,-9.707274348387939,0.08160277986374491,-9.78
2z,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(C)(C)CO)nc21,-10.178894955646411,0.07132570218641149,-10.36
3flq,C[C@@H](CS(C)(=O)=O)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-10.47800179071455,0.08296277662578977,-9.93
3flw,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21,-12.041159980895745,0.06960155859251356,-10.68
3fmh,C[C@H](Cn1ncnn1)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-10.968696600039674,0.06440421966607009,-10.83
3fmk,C[C@@H](Cn1ncnn1)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-12.419722661688354,0.0656130478044317,-11.83
2bb,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NCCS(C)(=O)=O)nc21,-9.859097793585521,0.08791585266935432,-9.06
3fly,CC(C)Nc1ncc2cc(Oc3ccc(F)cc3F)c(=O)n(C)c2n1,-9.94792579489566,0.059296402148984725,-11.42
2c,Cn1c(=O)c(-c2ccccc2Cl)cc2cnc(NC3CCOCC3)nc21,-10.907347047863523,0.060209769913119875,-10.46
3flz,Cn1c(=O)c(Oc2ccccc2)cc2cnc(NC3CCOCC3)nc21,-10.444096582335968,0.04584296258861166,-9.49
2e,Cn1c(=O)c(Oc2ccc(F)cc2)cc2cnc(NC3CCOCC3)nc21,-9.154432681803499,0.04042346277142155,-10.7
2m,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1C1CC1,-12.275533845870031,0.0620859000613768,-10.96
2n,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1CCCO,-12.112513123302667,0.05800436503113835,-11.85
2r,CC(C)(O)Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-11.323181268689817,0.07482141791881461,-10.79
2ee,CC(=O)N1CCC(Nc2ncc3cc(Oc4ccc(F)cc4F)c(=O)n(C)c3n2)CC1,-11.045177798301891,0.06277641009760107,-12.26
2f,Cn1c(=O)c(Oc2cccc(F)c2)cc2cnc(NC3CCOCC3)nc21,-9.97985682105074,0.03919489079210595,-8.48
2ff,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(N[C@H]3CC[C@H](O)CC3)nc21,-9.008096102216212,0.0704946187687189,-11.44
2k,O=c1[nH]c2nc(NC3CCOCC3)ncc2cc1Oc1ccc(F)cc1F,-9.75618348574327,0.057654356329754464,-10.55
3fln,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-10.514264917277387,0.04736492401219932,-10.88
2x,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(N[C@H]3CCOC3)nc21,-9.432674380181286,0.05927643789612978,-10.23
2g,Cn1c(=O)c(Oc2ccccc2F)cc2cnc(NC3CCOCC3)nc21,-11.088371589251498,0.041632335281511876,-10.66
2gg,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCS(=O)(=O)CC3)nc21,-7.938401822130673,0.060453088887079884,-10.66
2i,Cn1c(=O)c(Cc2ccccc2F)cc2cnc(NC3CCOCC3)nc21,-8.928310299119074,0.054056059699372806,-10.05
2j,Cn1c(=O)c(Cc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-8.375834557836125,0.05655627131629654,-10.08
2h,Cn1c(=O)c(Sc2ccccc2F)cc2cnc(NC3CCOCC3)nc21,-8.30882728446927,0.06198725613078354,-9.48
2l,CCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-11.837403651183319,0.0720464537824656,-12.26
2q,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1C1CCS(=O)(=O)CC1,-15.039966025200902,0.07931540080409405,-12.26
2t,N#CCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-12.9596852434111,0.06845998316438905,-11.85
2u,CS(=O)(=O)N1CCC(n2c(=O)c(Oc3ccc(F)cc3F)cc3cnc(NC4CCOCC4)nc32)CC1,-12.413062718743367,0.08038938861641738,-12.26
2s,O=c1c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc2n1C[C@H](O)CO,-11.704857656394038,0.07412104607389233,-11.11
2o,CS(=O)(=O)CCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-12.111568361907757,0.0682703460543887,-10.49
2p,CS(=O)(=O)CCCn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,-12.193344213027496,0.07612207840494055,-11.2
