mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
MT,ET,1.7527642378953912,0.04699894698434851,3.4918569290753485,0.0471506930842149,-1.7390926911799571,0.0665739354098842,-1.32
IBT,PT,-2.266540027970831,0.04954396843891286,-3.286258498140933,0.04820332599248197,1.0197184701701023,0.06912427536989796,0.8900000000000013
IPT,ET,-1.961935914708191,0.04808501711919334,-3.435280582416125,0.04998913878161118,1.4733446677079345,0.06936196989330896,0.8899999999999997
PT,SBT_S,3.7328051494182235,0.04940991133198346,4.653141301987279,0.047928738492149105,-0.9203361525690555,0.06883678748520505,-0.22000000000000114
MT,PT,2.8353284442355404,0.05265602388049697,6.017012146124348,0.05078222388421502,-3.181683701888808,0.07315388652375215,-2.559999999999999
IBT,ET,-3.28974423313773,0.05701038259371352,-5.797148798167629,0.05789262772533308,2.5074045650298986,0.08125109272142497,2.1300000000000003
MT,IPT,3.8106992288305204,0.05591459688720499,6.628616867276047,0.057291031280331306,-2.817917638445526,0.08005438407871573,-2.21
SBT_S,ET,-4.972705739662113,0.0571604256605278,-7.286767583238889,0.058211415309252695,2.3140618435767757,0.08158359598595188,1.4600000000000002
PT,IPT,0.9854678745735966,0.056862550563809,0.6582832197834321,0.057054268910675845,0.3271846547901646,0.08055146961758952,0.3499999999999994
IBT,SBT_S,1.634271848250637,0.05974171235347959,1.5785243070148518,0.059181260177574954,0.05574754123578529,0.0840921741372627,0.6700000000000002
