mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
18,CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)cc1,-9.524420386450373,0.04220297619288311,-10.7585
20,CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)nc1,-10.220872939751738,0.04807374657255552,-10.5033
14,CCOC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)cc1,-10.361793675254106,0.051713684818846306,-10.3255
17,CC1=C(C(=O)OCCO)[C@@H](c2ccc(C#N)cc2)NC(=O)N1c1cccc(C(F)(F)F)c1,-10.570533366622488,0.057788205102780786,-11.414
22,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2)NC(=O)N1c1cccc(C(F)(F)F)c1,-10.843100407397818,0.04587520578572691,-11.3613
26,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2C(F)(F)F)NC(=O)N1c1cccc(C(F)(F)F)c1,-12.75632734378103,0.04694038109599028,-12.5809
23,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2)N(CC(N)=O)C(=O)N1c1cccc(C(F)(F)F)c1,-11.76122383626045,0.05764653809827845,-10.3711
25,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2)N(C)C(=O)N1c1cccc(C(F)(F)F)c1,-11.831812158352408,0.042319823536020866,-11.9998
15,CCOC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(CC(N)=O)[C@@H]1c1ccc(C#N)cc1,-10.917255456854802,0.06621612501069053,-12.2782
27,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2C(F)(F)F)N(C)C(=O)N1c1cccc(C(F)(F)F)c1,-13.973335037670152,0.05061739317998938,-14.488
28,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2S(C)(=O)=O)NC(=O)N1c1cccc(C(F)(F)F)c1,-13.052113126747033,0.062419924687657474,-12.6433
29,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2S(C)(=O)=O)N(C)C(=O)N1c1cccc(C(F)(F)F)c1,-14.151520845241121,0.052088871281377985,-13.8977
30,CC1=C(C#N)[C@@H](c2ccc(C#N)cc2[S@](C)(=N)=O)N(C)C(=O)N1c1cccc(C(F)(F)F)c1,-13.681722884128034,0.053287712400634527,-13.0996
6,CCOC(=O)C1=C(N)N(c2cccc([N+](=O)[O-])c2)C2=CCCC(O)=C2[C@@H]1c1ccc(Br)cc1,-9.107728535488437,0.07499358970629731,-7.03256
