mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
17a,17d,-2.7513039032157174,0.03820711828626057,-0.8180636749495627,0.039391340019162564,-1.9332402282661547,0.05487678522149038,-0.6181700000000004
17c,17i,-0.38373261183209395,0.04302058502302523,-0.23254238025923402,0.04294311487535609,-0.15119023157285996,0.06078553981763568,0.4106800000000002
17c,17d,-0.9132700947682644,0.04481481236557388,0.16528969903026133,0.0452315457536089,-1.0785597937985256,0.06367307231964238,0.20318999999999998
17b,17d,-3.6191806024683593,0.045555787817899825,-2.053936333109091,0.04654595749641773,-1.565244269359268,0.06512953218754021,-0.6445100000000008
17a,17h flip,-1.786575386596281,0.051168626721723426,0.2180316889068403,0.05097418848997141,-2.0046070755031216,0.07222600814663788,-0.79502
17a,17j,-4.105044109553486,0.05438458614205008,-1.4486269071618172,0.053711089285585295,-2.6564172023916686,0.07643666870086752,-0.90822
17c,17h flip,-0.3178994152549073,0.055122781387153943,1.261626862748039,0.05657321185099807,-1.5795262780029462,0.07898765300345285,0.02634000000000041
17b,17h flip,-2.738578208891034,0.05532832058036055,-1.0343664904503165,0.05519387862674739,-1.7042117184407177,0.07815105435057976,-0.8213600000000004
17a,17i,-2.160822526513258,0.054729153575096806,-1.222541210292199,0.05446708185678542,-0.9382813162210587,0.07721362092947265,-0.4106800000000002
17b,17i,-3.1087700046922175,0.057261062702128884,-2.5238646385719425,0.05732901851342418,-0.5849053661202752,0.08102743773247226,-0.43702000000000063
17a,17k,-3.999115300613814,0.06513855859971981,-2.0184978827033384,0.06495109437167702,-1.9806174179104756,0.09198737128827862,-1.0891500000000003
17a,17l,-4.082588537461371,0.05908444016341,-1.436060532060403,0.060197459211911435,-2.6465280054009677,0.08434871169729456,-0.4106800000000002
17e,17g,-0.5176616348073646,0.03910726010365085,-0.21531027002672903,0.038343980755221344,-0.3023513647806355,0.054768957019203736,-0.3117100000000014
17e,17j,-2.1740933400136586,0.04814101793127167,-1.218285264830788,0.04690673658570113,-0.9558080751828707,0.06721457836347242,0.4560199999999995
17f,17g,2.3497641675561414,0.03927141011075357,3.4695183261986826,0.038164277690642984,-1.1197541586425415,0.05476089611881372,-0.6276799999999998
17e,17k,-1.8439753023835501,0.04960386139868708,-1.8341773079735662,0.04948562775544231,-0.009797994409983973,0.0700668996032389,0.27508999999999917
17c,17k,-2.1356967295568623,0.05877750526522222,-1.0631489526218574,0.05836037798202288,-1.0725477769350051,0.08282951674015614,-0.26779
17e,17l,-2.0239750811738424,0.05297195248787388,-1.1995906487674068,0.05249098740164081,-0.8243844324064357,0.07457433545648785,0.9535599999999993
17g,17a,2.707493233545283,0.05104570275381298,0.46197965360781124,0.048691250896171955,2.245513579937472,0.07054432424699096,1.675950000000001
17f,17j,0.9554136328521688,0.05928360989279766,2.428115208973243,0.05980950955463111,-1.472701576121074,0.0842123734084661,0.14005000000000106
17f,17l,1.092443661164813,0.06382568535749011,2.348466697460444,0.06448070870032038,-1.2560230362956308,0.09072750357994483,0.6375900000000009
17n,17p,-5.949823100890167,0.0505169551392863,-5.946674251890327,0.05052854096996909,-0.003148848999839076,0.07144995597688293,-0.1322099999999993
17n,17a,0.16556062326105472,0.06721786022976434,0.35930307621702545,0.06757602766957566,-0.19374245295597073,0.09531400867379038,-0.6186299999999992
17n,17b,0.9895720821303184,0.06950151878195267,1.665507533254895,0.06903846824460146,-0.6759354511245765,0.09796311147855075,-0.5922899999999988
17n,17o,-4.802795528918081,0.054052664572491436,-4.677924035221861,0.05494034315341498,-0.1248714936962195,0.07707225086372697,-0.19463000000000016
17n,17c,-1.0966838660911566,0.06641113453768133,-0.5103771062084006,0.06653587681650251,-0.586306759882756,0.09400777464828537,-1.4399899999999997
17m,17c,-16.39168871528581,0.0813471286376103,-13.922520594931832,0.08021924750476543,-2.4691681203539764,0.1142474639010194,-2.24938
17m,17a,-15.310725199841658,0.07808284475265934,-12.869658504018156,0.07995104169896095,-2.4410666958235008,0.11175464067955697,-1.4280199999999996
17q,17n,4.0672033133335965,0.04676641195564048,5.7298085358354145,0.0448618175569952,-1.6626052225018184,0.06480493778811762,0.07573999999999972
17m,17b,-14.006539974898795,0.08013913473021214,-11.59674656619139,0.08057779136554805,-2.409793408707403,0.11364445158764629,-1.4016799999999991
17q,17r,1.6055807604328896,0.04099181281869909,0.8284253189149828,0.03971856315718352,0.7771554415179067,0.057077955266761606,0.2402300000000004
17p,17o,1.499797014463528,0.05388097830100308,0.9759355167167256,0.05495669584755404,0.5238614977468022,0.07696361634664609,-0.062420000000000884
17r,17n,2.2440336996624866,0.04479330210133647,5.085907513984588,0.04414265373238906,-2.8418738143221014,0.06288890038535573,-0.16449000000000066
18a,18d,2.323814720255361,0.036216453117609904,1.6311859912634574,0.037889185571511275,0.6926287289919038,0.052413947186721724,-0.43701000000000023
17q,17p,-2.2956873397838686,0.05720605713688803,0.12551335543104256,0.057171651033578054,-2.421200695214911,0.0808772567230994,-0.05646999999999956
18a,18g,11.275694715908063,0.04327000216965706,11.076869883793883,0.04358519238520082,0.1988248321141817,0.061416301443648444,-0.14523
17r,17o,-2.893746519618567,0.05621515379395468,0.06327883734296567,0.05702028850144264,-2.9570253569615326,0.08007157308849208,-0.3591200000000008
18a,17a,1.8277724991822994,0.05705244923236741,-0.08956010451238164,0.05809525454950707,1.9173326036946812,0.08142506103518671,0.79502
18b,18d,-4.097317920464705,0.032050812658749255,-4.40475190705893,0.03503276573544398,0.3074339865942255,0.04748209417412778,0.6956500000000002
18b,17b,-2.2021122570455582,0.052938746738688064,-3.493507161437985,0.05394332097739259,1.2913949043924264,0.0755803730100147,1.954020000000001
18b,18i,17.671759710338396,0.05182131265594405,17.190713391007126,0.04754266771478514,0.48104631933126746,0.07032605277437076,2.6543300000000007
18b,17c,-4.965148300117015,0.05289391885708198,-5.817628985722551,0.05307538264579726,0.8524806856055359,0.07493172155407461,1.1063200000000002
18d,18e,8.271359306083141,0.05693572363154426,9.431739265336171,0.0556957203231661,-1.16037995925303,0.07964728424600506,0.29178000000000026
18e,18g,-0.3502831000299827,0.03613150075775812,-0.8902443529857195,0.036225739540207864,0.5399612529557367,0.05116433867688367,0.0
18d,18h,19.8306476959419,0.0674258219829043,19.124407936898223,0.06578380101369129,0.7062397590436758,0.09420058357504604,0.7648799999999997
18f,18g,-4.717338828750794,0.05253940590789809,-4.749068083813786,0.05077745967817476,0.03172925506299239,0.07306667903034558,-0.94025
18e,18i,32.86303886688335,0.06880406342109506,31.62215654714697,0.06845069216063791,1.2408823197363812,0.09705409007622753,1.6669000000000003
18f,18h,7.248457641154824,0.05658515957018973,6.2826251702182825,0.054316510791893584,0.9658324709365415,0.07843572928321459,-0.4671500000000006
18f,18i,22.56346375972319,0.0669576912440425,21.701670438192536,0.06626452520715244,0.8617933215306548,0.09420360777412862,0.7266500000000004
