mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
2714550-01-1,Pfizer-01-02,-0.8152210167678314,0.03508040394911429,-2.7194396087664927,0.03916710233839139,1.9042185919986612,0.05258038271845363,0.1869927993991443
Pfizer-01-01,Pfizer-01-02,-3.239563433536959,0.047757880513644456,-3.607778702118475,0.048571825373629196,0.36821526858151615,0.06811781977780755,0.26089747331314306
Pfizer-01-03,Pfizer-01-06,4.513703848750126,0.05069669580168308,2.7658624889799537,0.05177875887228407,1.7478413597701716,0.07246512841058468,1.6856811149845812
1832576-04-1,1832577-09-9,1.352406871131658,0.06338423498310203,-0.021140593673743064,0.062398298072714395,1.3735474648054011,0.08894441436517758,1.645852349536163
1832576-04-1,2714550-01-1,0.4018404575251227,0.0638839571121067,0.6990499149143637,0.060720712941869225,-0.29720945738924104,0.08813719394484018,1.25962942401104
1832577-09-9,2714550-01-1,-0.8285820183699547,0.06222412690305417,0.6337969060687327,0.06236530348945942,-1.4623789244386873,0.08809808765336379,-0.38622292552512305
Pfizer-01-04,2714550-01-1,6.787534925636449,0.06118679583225361,10.294651486865975,0.06141395925432958,-3.5071165612295254,0.08669197411243063,-1.5843134266708092
Pfizer-01-04,Pfizer-01-03,35.40057733623799,0.061312275543066494,37.26020530870613,0.06305307274220504,-1.8596279724681397,0.0879481956296018,-1.136292592891091
Pfizer-01-05,Pfizer-01-04,-1.1035646510293644,0.050522768432216765,-0.09898379445788752,0.05210446522147797,-1.0045808565714769,0.07257703098137597,-0.515758210599724
Pfizer-01-03,Pfizer-01-02,-26.59814396508732,0.06598635232879561,-24.656648226899303,0.06696250216916448,-1.9414957381880162,0.0940115705135028,-0.261028034380574
Pfizer-01-01,Pfizer-01-07,36.46097183646612,0.0699805110417448,37.962434517425685,0.07119202827043347,-1.5014626809595675,0.09982773569966397,2.381994300662402
Pfizer-01-01,1832577-09-9,-1.6090039577024124,0.0743146642832062,-1.5842206442126694,0.07346739438020343,-0.024783313489743053,0.10449941322582625,0.46012759943912185
Pfizer-01-05,Pfizer-01-06,17.78142860111232,0.06302564867812181,19.31451496265973,0.06232201551558909,-1.5330863615474075,0.0886355798154633,0.033630311493766114
1832576-04-1,Pfizer-01-07,40.257081368748885,0.07438506145107646,38.73659344698294,0.07437897198758453,1.5204879217659495,0.10519205692926775,3.567719050759443
Pfizer-01-05,Pfizer-01-02,4.7997431194468865,0.059409577774909225,8.03136362435754,0.0604441509871572,-3.2316205049106537,0.08475254167251413,-1.913078837871389
Pfizer-01-04,Pfizer-01-06,39.44114448178179,0.06899655755753718,39.71144072237181,0.07063234753332041,-0.2702962405900192,0.0987393208041168,0.5493885220934902
Pfizer-01-07,2714550-01-1,-39.865253059682885,0.06983411013992329,-37.89680078870357,0.0697612008132364,-1.9684522709793153,0.0987088044600867,-2.3080896267484032
