mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
18626-1,CCOc1nc(NC(=O)Cc2cccc(Cl)c2)cc(N)c1C#N,-8.198163610994873,0.05182495638607234,-8.87
18632-1,CCOc1nc(NC(=O)Cc2cccc(OC)c2)cc(N)c1C#N,-8.46465177371668,0.04500278802789985,-9.08
18628-1_flip,CCOc1nc(NC(=O)Cc2ccccc2C)cc(N)c1C#N,-6.7143806944870414,0.04761051997918703,-8.7
17124-1,CCOc1nc(NC(=O)Cc2cc(OC)c(Br)cc2OC)cc(N)c1C#N,-10.533621874383313,0.05196437586751929,-9.68
18631-1,CCOc1nc(NC(=O)Cc2ccccc2OC)cc(N)c1C#N,-8.468981001542637,0.03815207614620857,-9.41
18652-1,COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,-11.828437512586333,0.06396920591127621,-10.68
18637-1,CCOc1nc(NC(=O)Cc2cc(OC)c(NC(C)=O)cc2OC)cc(N)c1C#N,-10.854194454014747,0.05405578069544311,-10.14
18660-1,COc1ccc(OC)c(CC(=O)Nc2cc(N)c(C#N)c(OCCS(C)(=O)=O)n2)c1,-9.905569285059055,0.0619281351233609,-8.7
18627-1,CCOc1nc(NC(=O)Cc2ccc(Cl)cc2)cc(N)c1C#N,-7.974583872478707,0.05488399506088461,-8.48
18630-1,CCOc1nc(NC(=O)Cc2ccc(C)cc2)cc(N)c1C#N,-7.687289673834558,0.052549695929244036,-9.14
18635-1,CCOc1nc(NC(=O)Cc2cc(C)ccc2C)cc(N)c1C#N,-7.138671580392048,0.04849184682151078,-7.29
18625-1,CCOc1nc(NC(=O)Cc2ccccc2Cl)cc(N)c1C#N,-7.862084058896811,0.04567261475650581,-8.11
18633-1,CCOc1nc(NC(=O)Cc2ccc(OC)cc2)cc(N)c1C#N,-8.107078910435764,0.06033389758730937,-9.17
18624-1,CCOc1nc(NC(=O)Cc2ccccc2)cc(N)c1C#N,-7.1823971128276956,0.03608189040463214,-8.49
18629-1,CCOc1nc(NC(=O)Cc2cccc(C)c2)cc(N)c1C#N,-7.997351722341978,0.05398370119157032,-8.67
18636-1,CCOc1nc(NC(=O)Cc2cc(Br)ccc2Br)cc(N)c1C#N,-8.747899708722294,0.05566271620822347,-7.51
18634-1,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,-10.577159466072224,0.03767306815676065,-9.99
18658-1,COc1ccc(OC)c(CC(=O)Nc2cc(N)c(C#N)c(OCCO)n2)c1,-9.67118333127645,0.05468623277178489,-9.7
18638-1,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,-10.959546551991144,0.06044250379979593,-10.09
18639-1,CCOc1nc(NC(=O)Cc2cc(OC)c([N+](=O)[O-])cc2OC)cc(N)c1C#N,-11.316513800164605,0.0686083373249818,-9.74
18659-1,COCCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,-10.920240003780998,0.05620077631528326,-9.47
