mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),exp_ddg (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),mle_ddg (kcal/mol),mle_ddg_err (kcal/mol)
10,Example 30,-46.475953257163255,0.05023816726119037,-41.99094477244551,0.05265512951292309,-2.00282,-4.485008484717742,0.07277661790565733,-3.861240721218322,0.062315423565862144
11,Example 30,-42.605190519267026,0.05510774823583588,-35.86920995672484,0.053996880193358465,-2.8030099999999996,-6.735980562542182,0.07715262138281614,-6.302430820973427,0.05564989599438144
11,10,3.343829934583354,0.05401833862556989,5.741246785263408,0.053200732583331634,-0.8001899999999997,-2.397416850680054,0.0758175365945762,-2.4411900997551053,0.06633761426552019
3,Example 27,66.89872726642032,0.054561818120969864,67.21984051029291,0.05363877825117878,-3.0555900000000005,-0.3211132438725886,0.07651215935356238,-0.6729799357918562,0.11522211307810631
10,Example 23,-10.518128691429876,0.058490714020283704,-10.773996321269959,0.056148931372290885,-1.5860599999999998,0.2558676298400812,0.08107938160132233,-0.5684045714044705,0.0745223958200708
4,3,1.5226865654768131,0.04532724431544512,0.19312392816452756,0.04196076302867323,0.3591300000000004,1.3295626373122855,0.06176782909557791,1.1002541515287643,0.1151847285865523
3,6,-12.667403224696988,0.07231155246629321,-10.62147344429373,0.06942046408963969,-2.5671,-2.0459297804032572,0.10024051802792337,-1.2775917480753316,0.10054886609929406
4,SHP836-2,1.7511607441857446,0.051631379632104166,-0.17832493124451632,0.050206313001584776,-0.89114,1.9294856754302607,0.0720171731459071,2.059410539624923,0.11560702418214294
4,Example 27,67.6053537094082,0.058782130907036295,67.4198812973444,0.058677064369703026,-2.69646,0.18547241206380966,0.08305622672032618,0.42727421573690805,0.11346352327082887
7,6,-26.64863519577385,0.05660163651794614,-26.96397158608779,0.0532168384839289,-0.95357,0.3153363903139401,0.07769026422103525,-0.2901345341326973,0.08522134980154548
Example 1,6,-6.65320317446559,0.05922874746933963,-6.596484764962573,0.05428763219746918,0.9581400000000002,-0.056718409503017646,0.08034420661375964,0.40387469901990425,0.07250289239380309
Example 14,6,-57.39483786473056,0.07874121441355685,-63.18388565019688,0.07921900257560598,1.748190000000001,5.789047785466321,0.1116952515391572,5.837798053704915,0.0950356335181523
Example 14,Example 27,16.535206582410677,0.08099489786903846,10.407244664195694,0.07740006884780463,1.2597000000000005,6.127961918214982,0.11203099632896633,6.44240986598839,0.11044379795410289
Example 14,Example 9,0.57346403766948,0.07772854363511832,0.6343090789324513,0.07926905791061666,0.9841300000000004,-0.06084504126297131,0.11101941288654515,-0.417802105566091,0.10061200392814776
Example 1,7,22.375470055607583,0.06745115839239507,20.75318335690723,0.0633975785562723,1.9117100000000002,1.6222866987003544,0.09256841651057172,0.6940092331526015,0.07725855841567941
Example 1,Example 3,-6.695002068464709,0.06577213474172039,-6.0589283408149335,0.06507744880980468,0.7723099999999992,-0.6360737276497752,0.09252593178172144,-1.3121886295508531,0.071712481940187
Example 1,Example 5,5.29487799500718,0.051559968228513636,2.7561039607543285,0.04839492712871318,1.42509,2.5387740342528518,0.07071420858299125,2.57240616318402,0.06807951001162275
Example 1,Example 4,-7.351560070277739,0.07012365105578394,-5.986469894520855,0.06558274030806763,0.7870899999999992,-1.365090175756884,0.09601261512795486,-0.9978830675803536,0.07481500546662186
Example 22,Example 24,0.42170377993740077,0.04585801611897287,-0.8003728741575173,0.046608770954635094,0.1616099999999996,1.222076654094918,0.06538604722927982,1.0819084169010704,0.08732286117931438
Example 22,Example 26,0.321067607343436,0.055662977786883165,-1.1451805833559978,0.0524588553855503,0.2797800000000006,1.4662481906994338,0.07648724471743723,1.6551303125037844,0.08576832643276945
Example 1,Example 8,58.96235914585331,0.062307746945426394,65.49500241177002,0.06394337921546002,-0.7241499999999998,-6.532643265916701,0.08928051901118976,-6.0503654293761535,0.06934784618549061
Example 24,Example 23,-0.011977309396448735,0.04012249776724256,2.018321881262003,0.04121728687278618,0.33688000000000073,-2.030299190658452,0.057521122765780024,-1.850367675938541,0.0827981218722599
Example 24,Example 25,2.0892671671551253,0.042082084053010685,1.7246392331049025,0.04148333935621947,0.20730999999999966,0.3646279340502229,0.05909119428804874,0.06026091927670052,0.08472158211331815
Example 25,Example 23,-1.4319343097594301,0.047319392611160783,0.2970466842545558,0.048552032933182804,0.12957000000000107,-1.728980994013986,0.06779693812432865,-1.9106285952152415,0.07900893804683387
Example 22,Example 6,-75.73602063326103,0.06084456515276233,-74.08529392055317,0.05840879512036562,0.16957000000000022,-1.6507267127078689,0.08434244753409512,-1.6471739642151917,0.08818052139495741
Example 26,Example 23,0.1026991709670401,0.052838953850841974,2.4463598760358263,0.049103425934585915,0.21870999999999974,-2.3436607050687863,0.07213252721598469,-2.423589571541255,0.08115696347270449
Example 2,Example 1,-2.595965556575676,0.037067658937110816,-1.3328315714959056,0.03515687690378083,-0.7119599999999995,-1.2631339850797703,0.0510883287327504,-1.2863381607802955,0.06912916662348696
Example 26,Example 25,-1.4471203990161958,0.060941539693939804,-0.5869487089291034,0.05977603324863291,0.08913999999999866,-0.8601716900870924,0.0853641927930541,-0.5129609763260135,0.08311841077835883
Example 2,Example 30,31.921854328147962,0.04575476299900382,36.92548030912576,0.04644108117720774,-0.8808799999999994,-5.003625980977795,0.06519411290908872,-4.974360378735656,0.06393063207928582
Example 29,Example 30,-36.82717192349404,0.07137639747776343,-34.69089227186987,0.0696775726146541,-1.5343200000000001,-2.1362796516241693,0.0997474523101922,-2.6979038021196438,0.07683986334795498
Example 29,Example 28,9.659569360992244,0.07692357758259595,11.25668605447486,0.07722302480430569,-0.8345700000000003,-1.5971166934826164,0.10899831351003587,-1.073863404530499,0.1004596384254986
Example 30,Example 23,33.574151564536656,0.049587973643600625,30.904965633210224,0.04995131609861604,0.41676,2.669185931326432,0.0703853756831793,3.2928361498138514,0.06519063841156819
