mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
10,CC1([NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)cn2)CC1,-7.65072788171181,0.05092632009309274,-7.15428
Example 30,CC1([NH3+])CCN(c2nnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-11.511968602930132,0.035912698812100796,-9.1571
11,CNc1nc(N2CCC(C)([NH3+])CC2)cnc1-c1cccc(Cl)c1Cl,-5.209537781956705,0.04251104548487141,-6.35409
3,C[C@@H]1CN(c2ncc(-c3cccc(Cl)c3)c(N)n2)C[C@H](C)[NH2+]1,-6.142479937879536,0.08267310907638503,-5.46294
Example 27,C[C@@H]1CN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)C[C@H](C)[NH2+]1,-6.815459873671392,0.08025766242439447,-8.51853
Example 23,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2Cl)CC1,-8.21913245311628,0.05440677715633562,-8.74034
4,C[C@@H]1CN(c2ncc(-c3ccc(Cl)c(Cl)c3)c(N)n2)C[C@H](C)[NH2+]1,-7.2427340894083,0.08020398204080559,-5.82207
6,Nc1nc(N2CCC([NH3+])CC2)ncc1-c1cccc(Cl)c1Cl,-7.420071685954867,0.05722963838342777,-8.03004
SHP836-2,C[C@@H]1CN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)C[C@H](C)[NH2+]1,-5.183323549783377,0.08326046663962867,-6.71321
7,C[NH+](C)C1CCN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-7.12993715182217,0.06314623466604694,-7.07647
Example 1,CC1([NH3+])CCN(c2ncc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-7.8239463849747715,0.04451334514468083,-8.98818
Example 14,Nc1nc(N2CC[C@@H](C[NH3+])C2)cnc1-c1cccc(Cl)c1Cl,-13.257869739659782,0.07587186651650692,-9.77823
Example 9,Nc1nc(N2CCC(C[NH3+])CC2)cnc1-c1cccc(Cl)c1Cl,-13.675671845225873,0.06607749394263508,-8.7941
Example 3,CC1([NH3+])CCN(c2ncc(-c3ccc(Cl)s3)c(N)n2)CC1,-9.136135014525625,0.056224924811440764,-8.21587
Example 5,COc1cc(Cl)c(Cl)c(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)c1,-5.251540221790751,0.051510987055706496,-7.56309
Example 4,Cc1ccc(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)s1,-8.821829452555125,0.06013191454628048,-8.20109
Example 22,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2Br)CC1,-7.45067319407881,0.061072501991545854,-9.23883
Example 24,Cc1nc(-c2cccc(Cl)c2Cl)c(N)nc1N1CCC(C)([NH3+])CC1,-6.36876477717774,0.06241339267364369,-9.07722
Example 26,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2C(N)=O)CC1,-5.795542881575026,0.060219227158530744,-8.95905
Example 8,CC1(C[NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-13.874311814350925,0.053175989643794906,-9.71233
Example 25,CC1([NH3+])CCN(c2nc(N)c(-c3cccc(Cl)c3Cl)nc2C#N)CC1,-6.308503857901039,0.05729149056141994,-8.86991
Example 6,CC1([NH3+])CCN(c2ncc(-c3cc(O)cc(Cl)c3Cl)c(N)n2)CC1,-9.097847158294002,0.0636078128375687,-9.06926
Example 2,Cc1cccc(-c2cnc(N3CCC(C)([NH3+])CC3)nc2N)c1Cl,-6.537608224194476,0.05289048857865034,-8.27622
Example 29,CC1([NH3+])CCN(c2cnc(C3=CCCCC3)c(N)n2)CC1,-8.814064800810488,0.06793116121018195,-7.62278
Example 28,CC1([NH3+])CCN(c2cnc(-c3cccc4cc[nH]c34)c(N)n2)CC1,-9.887928205340987,0.07401010937174857,-8.45735
SHP099-1 Example 7,CC1([NH3+])CCN(c2cnc(-c3cccc(Cl)c3Cl)c(N)n2)CC1,-8.977619419309995,0.05613336394321414,-9.75265
