mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
2_3E63,Nc1n[nH]c2ccc(-c3ccccc3)cc12,-8.43347478661352,0.04786984267088605,-7.90701
9,Nc1n[nH]c2ccc(-c3cccc(Cl)c3)cc12,-8.107856708504924,0.04588738907365077,-8.36388
8,Nc1n[nH]c2ccc(-c3ccccc3Cl)cc12,-7.875102801815562,0.040133397859299924,-8.77456
4a,Nc1n[nH]c2ccc(-c3ccn[nH]3)cc12,-8.903247150340457,0.056587609048642504,-6.86423
6,Cc1noc(C)c1-c1ccc2[nH]nc(N)c2c1,-5.585606583463489,0.051765724494611594,-6.19864
3,Nc1n[nH]c2cc(-c3ccccc3)ccc12,-4.354776702783188,0.04747226977641517,-5.23562
10,Nc1n[nH]c2ccc(-c3cccc(Cl)n3)cc12,-6.565247873206662,0.03782190695894077,-7.14398
1_3E62,Nc1n[nH]c2ccc(Br)cc12,-6.620489912807984,0.04237495040644028,-5.98669
7,Cc1nc(C)c(-c2ccc3[nH]nc(N)c3c2)s1,-8.495046251571203,0.055237849254670186,-8.86058
5,Nc1n[nH]c2ccc(-c3ccncc3)cc12,-8.184141228893004,0.030188827628307602,-7.7898000000000005
