mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
2,O=C([O-])c1sc2ccccc2c1Cl,-5.372051376884223,0.02662813604997351,-5.33
3,O=C([O-])c1sc2cccc(Cl)c2c1Cl,-7.4440543016477525,0.04346070201436606,-6.39
13 flipped,Cn1c(C(=O)[O-])cc2ccccc21,-3.707620130691449,0.04318688694595006,-5.21
10,Cc1ccc2c(C)c(C(=O)[O-])oc2c1C,-5.758398176540274,0.04894792633940242,-5.04
15,Cc1cccc2c(-c3ccccc3)c(C(=O)[O-])[nH]c12,-5.326005602188086,0.04770916901242341,-5.31
11,O=C([O-])c1cc2c(Br)cc(Cl)cc2o1,-6.113105345322451,0.05720124610343813,-5.55
14,Cn1c(C(=O)[O-])cc2cc(Br)ccc21,-5.26330615236839,0.055924192524257524,-5.61
4,O=C([O-])c1sc2cc(Cl)ccc2c1Cl,-6.0472718713528035,0.044735430349262674,-5.81
5,Cc1ccc2c(Cl)c(C(=O)[O-])sc2c1,-5.323588766581493,0.046757643594504274,-6.04
7,Cc1c(C(=O)[O-])oc2ccc(Cl)cc12,-5.0565565205482175,0.03340105935175616,-5.88
8,Cc1c(C(=O)[O-])oc2cc(Cl)ccc12,-6.591626767026813,0.0477882929407905,-6.37
9,Cc1c(C(=O)[O-])oc2c(C)cccc12,-6.016414988848037,0.04687438120267969,-5.48
