mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
23,O=C([O-])c1sc2ccccc2c1CCCOc1cccc2ccccc12,-8.894331995502709,0.06040843454652443,-8.83
64,O=C([O-])c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-9.9647065131058,0.06829451587880862,-9.5
62,O=C([O-])c1sc2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-6.733009945435065,0.07211283900038537,-7.959999999999999
57,Cn1c(C(=O)[O-])c(CCCOc2cccc3ccccc23)c2ccccc21,-8.942046828807582,0.07045576744916979,-9.04
54,O=C([O-])c1[nH]c2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,-9.510192238137648,0.06919216488890413,-9.78
66,O=C([O-])c1sc2c(Cl)cccc2c1CCCOc1cccc2ccccc12,-10.230797908620074,0.06886118518867256,-8.43
44,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12,-8.697752519308862,0.05496207053187043,-8.67
51,O=C([O-])c1[nH]c2cccc(Cl)c2c1CCCOc1cccc2ccccc12,-7.270707852567434,0.06934429745791777,-8.45
26,O=C([O-])c1oc2ccccc2c1CCCOc1cccc2ccccc12,-9.082466868652508,0.06452289049040767,-8.24
68,O=C([O-])c1oc2ccc(Cl)cc2c1CCCOc1cccc2ccccc12,-7.871551497233555,0.07253568713115588,-7.690000000000001
27,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1,-6.078077885063699,0.051167567994813895,-6.12
31,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(C(F)(F)F)c1,-7.629903444562801,0.05920865574315272,-7.920000000000001
32,Cc1ccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc1,-6.575724499538045,0.062387893345441016,-6.58
28,Cc1ccccc1OCCCc1c(C(=O)[O-])[nH]c2ccccc12,-5.68258876296988,0.05677206467899571,-6.62
29,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1C(F)(F)F,-3.21045940093412,0.05024673929771848,-6.94
38 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(-c2ccccc2)c1,-9.034218312015877,0.06500220401956262,-7.02
39,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(-c2ccccc2)cc1,-7.818276619618549,0.06482290434253467,-7.03
40 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(Oc2ccccc2)c1,-7.403601545749572,0.06873795545438653,-7.25
41 flip,O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Oc2ccccc2)cc1,-7.833568802953921,0.06284929921859674,-7.13
