mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
1b,[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Cl)c1,-8.437061350991891,0.023974029559409384,-8.46
1c,[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(Br)c1,-8.321558624337678,0.0356998589645321,-8.56
1a,[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(F)c1,-7.400904768182082,0.028763277351993667,-7.48
5,[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1,-6.99044732276965,0.034804711637410904,-7.58
3b,CCc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H]([NH3+])Cc2ccccc2)c1,-7.726787647959086,0.03511058086492091,-7.86
1d,[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cccc(I)c1,-6.6612339807496515,0.04110170440875044,-8.25
3a,Cc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)[C@H]([NH3+])Cc2ccccc2)c1,-7.800870944032236,0.02938119153064518,-8.32
6a,[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1Cl,-10.695045634074635,0.030525817791849857,-9.18
6b,Cc1ccc(Cl)cc1CNC(=O)[C@@H]1CCCN1C(=O)[C@H]([NH3+])Cc1ccccc1,-9.36967754902111,0.03633355113535235,-8.89
7a,Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)[C@H]([NH3+])Cc2ccccc2)c1,-8.091587663902187,0.043023368921910984,-8.22
6e,[NH3+][C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NCc1cc(Cl)ccc1F,-10.214824513979801,0.03945434875308857,-8.91
