mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
ejm_31,CC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-9.98382951991882,0.04760414252300929,-9.54
ejm_55,COC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-10.415944198380169,0.04971302096584167,-9.21
ejm_45,O=C(CC1CC1)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-9.102787419764073,0.05086754776431867,-9.56
ejm_42,CCC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-9.780986360224123,0.042890785539576995,-9.78
ejm_46,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1Cl,-10.748392511361361,0.04529926425391975,-11.31
ejm_54,CCNC(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-9.892506857020422,0.042217345184418,-10.53
ejm_43,CC(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-8.635221070278565,0.04623054501248794,-8.26
ejm_48,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(Cl)cccc1Cl,-9.35195982068962,0.058238066238726134,-9.0
ejm_50,O=C(CO)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-10.058373542422164,0.03069711607144795,-8.98
ejm_44,CC(C)(C)C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-6.827202338079502,0.04612144222494404,-7.42
ejm_49,O=C(Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1)c1ccccc1,-8.174463838604122,0.050444826269455754,-7.75
ejm_47,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(Cl)cccc1Cl,-9.514484715967832,0.06203500761346789,-9.7
jmc_23,O=C(Nc1ccnc(NC(=O)[C@H]2C[C@H]2F)c1)c1c(Cl)cccc1Cl,-11.278417814763028,0.045213062767395985,-11.7
jmc_28,C[C@@H]1C[C@@H]1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-10.216706392514226,0.05457316494993142,-10.98
jmc_27,O=C(Nc1ccnc(NC(=O)[C@H]2C[C@H]2Cl)c1)c1c(Cl)cccc1Cl,-11.145699833433774,0.04718646563647764,-11.28
jmc_30,N#C[C@@H]1C[C@@H]1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-10.813023766578187,0.05627698494686349,-10.94
