mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
17b,CN1C(=O)C[C@@](C)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)[NH+]=C1N,-10.323155229088021,0.06014426432441247,-11.5825
17d,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CC(=O)N(C)C(N)=[NH+]3)c2)cn1,-11.111210240884105,0.049215319524669315,-11.3915
17c,CN1C(=O)C[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)[NH+]=C1N,-11.015640876253155,0.05694177086608854,-11.7462
17e,CN1C(=O)C[C@@](C)(c2cc(NC(=O)c3cnc(OCC(F)(F)F)cn3)ccc2F)[NH+]=C1N,-11.276371949175806,0.06417097713109786,-11.9508
17a,Cc1nc(C(=O)Nc2ccc(F)c([C@]3(C)CC(=O)N(C)C(N)=[NH+]3)c2)co1,-9.373586463074036,0.06679351919222899,-10.9413
27a,Cc1nc(C(=O)Nc2ccc(F)c([C@]3(C)CCC(=O)N(C)C(N)=[NH+]3)c2)co1,-8.818181165348904,0.0690086337549436,-9.1541
27b,CN1C(=O)CC[C@@](C)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)[NH+]=C1N,-9.75987953052468,0.07403881457727746,-9.97264
17g,CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CC(=O)N(C)C(N)=[NH+]3)c2)cn1,-14.457432021228266,0.050578860514804286,-11.1186
17f,COCCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CC(=O)N(C)C(N)=[NH+]3)c2)cn1,-12.301554382762108,0.059523886593705465,-11.637
27c,CN1C(=O)CC[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)[NH+]=C1N,-10.869653214315983,0.05486942145580803,-10.0136
27e,CN1C(=O)CC[C@@](C)(c2cc(NC(=O)c3cnc(OCC(F)(F)F)cn3)ccc2F)[NH+]=C1N,-11.36360802455699,0.06800407190453121,-9.35874
27f,COCCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CCC(=O)N(C)C(N)=[NH+]3)c2)cn1,-11.842492306907706,0.0700418295088402,-9.09953
27g,CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CCC(=O)N(C)C(N)=[NH+]3)c2)cn1,-13.492563203760545,0.062103264485494705,-12.2509
27d,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CCC(=O)N(C)C(N)=[NH+]3)c2)cn1,-11.015903456990829,0.06101982924238109,-9.27688
8b,CN1C(=O)[C@@](C)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)[NH+]=C1N,-6.000256620126616,0.06732199579066012,-8.5129
8c,CN1C(=O)[C@@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)[NH+]=C1N,-7.652661526819184,0.06606147252988606,-8.30826
8a,Cc1nc(C(=O)Nc2ccc(F)c([C@@]3(C)[NH+]=C(N)N(C)C3=O)c2)co1,-6.1087064456289975,0.054805681716976834,-7.78985
8d,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)[NH+]=C(N)N(C)C3=O)c2)cn1,-7.112283618539611,0.06928540771297083,-8.34919
8e,CN1C(=O)[C@@](C)(c2cc(NC(=O)c3cnc(OCC(F)(F)F)cn3)ccc2F)[NH+]=C1N,-7.057790685309584,0.07777583737695826,-8.4174
8g,CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)[NH+]=C(N)N(C)C3=O)c2)cn1,-10.09504328232414,0.06669240614847563,-10.3546
8f,COCCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)[NH+]=C(N)N(C)C3=O)c2)cn1,-7.6409457563807335,0.06951284343051534,-7.46243
