mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
b1a2m,O=C(c1c(Cc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-9.597482410965824,0.04994454360337412,-9.60566
b1i2c,O=C(c1c(Oc2cccc(C(F)(F)F)c2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-6.812235436623263,0.07201622397013488,-6.88372
b1i2h,O=C(c1c(Oc2cccc(F)c2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-10.420331775990219,0.049587471435164045,-9.82353
b1i2a,O=C(c1c(Oc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-9.689715707712729,0.040574642307980656,-8.69953
b1i1,O=C(c1c(N2CCCCC2)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-6.728197561438385,0.08208894526935452,-7.39449
b1i2e,Cc1ccccc1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-11.235782463962192,0.04534451824718947,-10.4744
b1i2j,Cc1ccc(F)cc1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-12.2621998880498,0.06439417341213254,-11.3246
b1i2k,Cc1cccc(F)c1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-10.320635838637108,0.05690118062199951,-10.6355
b1i2d,COc1ccccc1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-9.745795472076006,0.06435691905293428,-8.41399
b1i2g,Cc1cccc(Oc2c(C(=O)N3CC[NH2+]CC3)c3ccccc3n2-c2ccccc2)c1,-9.367002838940078,0.052717901481133755,-8.338
b1i4b,O=C(c1c(Oc2ccccc2)n(-c2ccc(F)cc2)c2ccccc12)N1CC[NH2+]CC1,-9.919283852129197,0.0500162109754273,-8.39094
b1i4a,O=C(c1c(Oc2ccccc2)n(-c2ccccn2)c2ccccc12)N1CC[NH2+]CC1,-8.27767690232689,0.051770030650687165,-7.23542
b1i5a,COc1ccc2c(C(=O)N3CC[NH2+]CC3)c(Oc3cc(F)ccc3C)n(-c3ccccc3)c2c1,-13.786111531433244,0.06747861948811218,-10.3953
b1i5b,COc1ccc2c(c1)c(C(=O)N1CC[NH2+]CC1)c(Oc1cc(F)ccc1C)n2-c1ccccc1,-12.27823410831274,0.07852801026017728,-8.00772
b1i2i,Cc1cccc(C)c1Oc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-10.141012756621457,0.06178222713230348,-9.81412
b1i5d,Cc1ccc(F)cc1Oc1c(C(=O)N2CC[NH2+]CC2)c2cc(C(N)=O)ccc2n1-c1ccccc1,-10.701400237775605,0.07925915668716485,-11.2166
b1i2n,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1-c1ccccc1,-8.972763689778338,0.0468891459067519,-10.9765
b1i2o,O=C(c1c(Cc2c(F)cccc2Cl)n(-c2ccccc2)c2ccccc12)N1CC[NH2+]CC1,-10.077709898387754,0.05799754411811862,-10.5657
b1i4i,COc1ccc(-n2c(Cc3cccc(F)c3C)c(C(=O)N3CC[NH2+]CC3)c3ccccc32)cn1,-7.994167373937189,0.055482635883382925,-8.7908
b1i5h,COc1ccc2c(C(=O)N3CC[NH2+]CC3)c(Cc3cccc(F)c3C)n(-c3ccccc3)c2c1,-10.396922370585363,0.05996751007271246,-10.8059
b1i4e,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1C1CCCCC1,-8.5435135845976,0.06925690656020944,-10.1889
b1i4g,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccccc2n1C1CCOCC1,-7.217004335918577,0.07371271121786242,-8.35437
b1i5n,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccc(OCCO)cc2n1-c1ccccc1,-8.687306344910603,0.060497661586563736,-10.2436
b1i5o,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccc(S(C)(=O)=O)cc2n1-c1ccccc1,-6.236905113060976,0.06787410550554081,-10.0361
b1i5c,Cc1ccc(F)cc1Oc1c(C(=O)N2CC[NH2+]CC2)c2cc(O)ccc2n1-c1ccccc1,-13.83847451671485,0.07169820955444117,-11.8676
b1i5i,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2ccc(O)cc2n1-c1ccccc1,-10.563630324937384,0.05961569918371676,-11.4568
b1i5j,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2cc(O)ccc2n1-c1ccccc1,-11.25991273499311,0.06187545637073208,-11.4568
b1i5l,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2cccc(F)c2n1-c1ccccc1,-8.49092968558572,0.06533172746612043,-9.653
b1i5k_xray,Cc1c(F)cccc1Cc1c(C(=O)N2CC[NH2+]CC2)c2c(C)c(O)ccc2n1-c1ccccc1,-9.354851243597787,0.06686418205066041,-11.8676
