mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
3a,CC(C)(C)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-11.072051502642331,0.05495788228035676,-10.9965
3b,CC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.279625265673143,0.05254936968544155,-11.5193
1a,O=c1[nH]c(-c2ccccc2)nc2ccccc12,-8.354398276405757,0.049687654908595516,-8.55056
1b,COc1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-9.889051657294019,0.05662961705225921,-9.93717
5a,CC(C)(O)c1ccc(-c2nc3ccccc3c(=O)[nH]2)cc1,-10.876125283639523,0.04513305181460481,-10.7585
5b,CC(C)(O)c1ccc(-c2nc3cccc(F)c3c(=O)[nH]2)cc1,-11.261278430955763,0.042778151806229105,-10.4744
5d,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.068642887150348,0.0437715403237095,-10.8851
5j,CC(C)(O)c1ccc(-c2nc3ccc(F)c(F)c3c(=O)[nH]2)cc1,-11.069400725363918,0.04104112877860788,-11.0844
5c,CC(C)(O)c1ccc(-c2nc3cccc(Cl)c3c(=O)[nH]2)cc1,-10.811209290910664,0.056346653181972746,-9.96041
7,CC(C)(O)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)nc1,-9.886459824665227,0.04562044783987045,-8.39681
5n,CC(C)(OCCO)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.193713391935054,0.04972651777355546,-10.7146
5e,CC(C)(O)c1ccc(-c2nc3ccc(Cl)cc3c(=O)[nH]2)cc1,-9.620460772886616,0.03928905007916875,-10.1076
5k,CC(C)(O)c1ccc(-c2nc3c(F)cc(F)cc3c(=O)[nH]2)cc1,-10.562535138992057,0.04232684657275463,-10.9634
5f,CC(C)(O)c1ccc(-c2nc3c(F)cccc3c(=O)[nH]2)cc1,-11.461912187554352,0.03149062288175452,-10.2631
5g,CC(C)(O)c1ccc(-c2nc3c(Cl)cccc3c(=O)[nH]2)cc1,-12.039737891859575,0.04742898783585807,-10.806
5h,COc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-10.179386772368646,0.04232849970651472,-10.0498
5i,Cc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-11.635206476821875,0.041284632982790025,-12.0789
5p,COCCOC(C)(C)c1ccc(-c2nc3ccc(F)cc3c(=O)[nH]2)cc1,-10.214355210459605,0.06201762040376728,-10.5033
5l,CC(C)(O)c1ccc(-c2nc3c(F)ccc(F)c3c(=O)[nH]2)cc1,-11.708109691441122,0.04575229305204122,-10.0926
5m,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,-10.78499601085975,0.04888258116471232,-12.6889
5o_adjust,Cc1cc(F)cc2c(=O)[nH]c(-c3ccc(C(C)(C)OCCO)cc3)nc12,-10.900693310120602,0.0560067602970198,-12.038
