mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
11,CCSc1ccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)cc1,-10.845527258915379,0.055144919367293634,-12.1228
12,O[C@@H](CNc1cc(-c2ccc(SC(F)(F)F)cc2)ncn1)c1ccccc1,-12.46089793315244,0.048037553898200615,-11.0462
14,O[C@@H](CNc1cc(-c2ccc(F)cc2)ncn1)c1ccccc1,-6.520681068413194,0.03003543899397504,-7.84252
20,Cc1ccccc1-c1cc(NC[C@H](O)c2ccccc2)ncn1,-5.744415167855407,0.04719183044940548,-6.82123
19,COc1cccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)c1,-7.728622347969794,0.05039389195666716,-7.972320000000001
25,CCOc1ccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)cc1Cl,-10.399578149432928,0.05543871293543585,-12.038
24,CCOc1ccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)cc1C(F)(F)F,-11.126038765278967,0.06729512577334389,-11.6273
27,O[C@@H](CNc1cc(-c2ccc(OCC(F)(F)F)c(F)c2)ncn1)c1ccccc1,-11.997157470172352,0.06623813312570871,-11.1877
30,O[C@@H](CNc1cc(-c2ccc(Cl)c(C(F)(F)F)c2)ncn1)c1ccccc1,-9.713401940383054,0.04818980763398188,-9.90394
15,N#CCc1ccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)cc1,-11.205477550996337,0.03860713184326565,-8.59027
22,COc1ccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)cc1C,-8.24882717563378,0.04826480994286256,-9.97238
28,CC(=O)c1ccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)cc1F,-10.559028586985837,0.04026673771728177,-11.5891
29,O[C@@H](CNc1cc(-c2ccc(C(F)(F)F)c(F)c2)ncn1)c1ccccc1,-10.745793357339574,0.052354831961009166,-10.806
31,O[C@@H](CNc1cc(-c2ccc(C(F)(F)F)c(Cl)c2)ncn1)c1ccccc1,-11.051781161532352,0.05780741625982112,-11.2901
23,O[C@@H](CNc1cc(-c2ccc(OC(F)(F)F)c(F)c2)ncn1)c1ccccc1,-11.486156753271691,0.054748789057157285,-10.6737
26,CCOc1ccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)cc1F,-10.724136627979101,0.04858258606463344,-10.6737
2,Cc1ccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)cc1,-7.583723470244837,0.04229583328729482,-8.66521
39,O[C@@H](CNc1cc(-c2ccc(C(F)(F)F)c(Cl)c2)ncn1)c1ccc(F)c(F)c1,-12.4050638918095,0.05645054619419478,-10.7146
33 (Saha 2018),O[C@@H](CNc1cc(-c2ccc(C(F)(F)F)c(Cl)c2)ncn1)c1cccc(F)c1,-11.611353471400609,0.05204514059457257,-9.73619
4,CC(C)c1ccc(-c2cc(NC[C@H](O)c3ccccc3)ncn2)cc1,-11.121251842523906,0.03977929247584431,-11.3247
6,O[C@@H](CNc1cc(-c2ccc(C(F)(F)F)cc2)ncn1)c1ccccc1,-10.013464061200533,0.03468365381630219,-10.4205
6MRG ligand,O[C@@H](CNc1cc(-c2ccc3c(c2)OCCO3)ncn1)c1ccccc1,-9.538787883269277,0.05623826970639139,-10.2873
9,O[C@@H](CNc1cc(-c2ccc(OCC(F)(F)F)cc2)ncn1)c1ccccc1,-12.488875402130748,0.04713747844290516,-10.5657
fig 3,O[C@@H](CNc1cc(-c2ccc(OC(F)(F)F)cc2)ncn1)c1ccccc1,-11.151018662108394,0.048324255636656724,-10.5996
