mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
2714550-01-1,CC(C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,-10.503480488897198,0.03796841404697703,-8.771566645289406
Pfizer-01-02,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C(C)C)n2n1,-8.623355273320618,0.03366103109209477,-8.584573845890262
1832576-04-1,CO[C@@H](C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,-10.142437651657344,0.053223370370549944,-10.031196069300446
1832577-09-9,CO[C@H](C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2cc(Cl)nn12,-9.30808996768933,0.04832896275646825,-8.385343719764283
Pfizer-01-01,CC(C)c1c(NC(=O)Nc2ccnc(C(F)(F)F)c2)cnc2ccnn12,-8.492824207789754,0.04650638262171283,-8.845471319203405
Pfizer-01-03,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C3CC3)n2n1,-7.457076298842539,0.05107137127818305,-8.323545811509687
Pfizer-01-07,Cn1ncc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C3CC3)c21,-9.48158294075291,0.05172312063276111,-6.463477018541003
Pfizer-01-06,Cc1nc2c(C3CC3)c(NC(=O)Nc3ccnc(C(F)(F)F)c3)cnc2n1C,-5.583106655569267,0.0505443290699054,-6.6378646965251065
Pfizer-01-04,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)c(C)n2n1,-5.841530827326077,0.044130173545468825,-7.187253218618596
Pfizer-01-05,Cc1cc2ncc(NC(=O)Nc3ccnc(C(F)(F)F)c3)cn2n1,-4.468303040816037,0.04081371342828216,-6.671495008018873
