mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
12 docked,11 docked,7.182780705068278,0.05656480441589565,4.432456776182512,0.05782130047127383,2.7503239288857655,0.0808880701141884,-2.366270000000001
13 docked,12 docked,-0.47940547987964777,0.046536571841584974,0.28447418325115,0.04613877998293623,-0.7638796631307978,0.06553197339528848,1.3084200000000006
14 docked,11 docked,8.492038525100305,0.0570283675998011,9.70389517143639,0.0571487808577518,-1.2118566463360834,0.0807354808286009,-0.10860000000000002
14 docked,12 docked,1.189428552203597,0.06352724768998895,5.133561828079143,0.06550814125922187,-3.9441332758755454,0.09125254939070675,2.257670000000001
14 docked,13 docked,2.211090342537803,0.0627611295259399,5.344659118510516,0.06241161534550305,-3.1335687759727135,0.08851084176193805,0.9492500000000005
16 docked,17 torsion adjust,5.730880014200166,0.04231414374496165,6.211918012734093,0.04289469238816712,-0.4810379985339263,0.06025314428264105,1.4577000000000002
16 docked,19,-3.1158473773278867,0.038347429750655436,-2.7365326059936206,0.040926568629539924,-0.3793147713342662,0.05608484098461807,1.532200000000001
17 torsion adjust,15 docked,-7.879821814925774,0.060130836765774846,-8.199561885517019,0.05825292866761249,0.31974007059124543,0.08372049467428037,0.28010000000000046
18 docked,13 docked,-5.089113572008522,0.05639360091155245,-4.5607648808816705,0.055721207477216046,-0.5283486911268515,0.07927856700578288,-0.3712699999999998
18 docked,15 docked,-10.827165506287551,0.053894350504713646,-11.39171648554417,0.0544376260839136,0.5645509792566201,0.07660323850841372,-0.49421999999999944
18 docked,19,-11.09072770196693,0.034345473913258776,-11.953669928503386,0.03587461286613181,0.8629422265364555,0.04966487115276923,-0.6998199999999991
19,17 torsion adjust,7.492563487501781,0.04589404906761103,9.078705770170902,0.0479540417335916,-1.586142282669122,0.06637660625858581,-0.0745000000000007
20,11 docked,-4.67574345049406,0.07001706227998326,-5.209991195698426,0.06882046464562665,0.5342477452043664,0.0981766029375584,-0.8964000000000003
20,15 docked,-15.969057201238716,0.05991774992754093,-16.500866557012827,0.06022330926605183,0.5318093557741106,0.08495283241501637,0.03850000000000058
21 (Xtal),14 docked,1.9176954925126244,0.06377538853021053,0.12275843181152578,0.0625160719038044,1.7949370607010984,0.08930598764058853,2.1984999999999997
21 (Xtal),16 docked,1.4917773405346142,0.05539038637762636,0.28996799911769644,0.053554125682151954,1.2018093414169178,0.07704634501806341,1.287
21 (Xtal),22,-1.0396698663084876,0.04524486117024136,-1.1735377354779266,0.04420619256004125,0.13386786916943905,0.06325571059572298,0.0
22,14 docked,3.5329097288990243,0.06847706421945333,1.2144742049155208,0.06668362981601722,2.3184355239835033,0.09558145641051279,2.1984999999999997
22,16 docked,2.5833958498133818,0.0605708838342499,1.633343873772345,0.06082089541630932,0.9500519760410369,0.08583713233620886,1.287
24 pose 2,14 docked,-1.9962060090197424,0.06611771026074198,-12.40530218591437,0.0644890476381553,10.409096176894629,0.09236010434922477,2.3072
24 pose 2,16 docked,-2.714616215636306,0.0758646956996404,-12.285060389889715,0.07503393691799172,9.570444174253408,0.1067030634190612,1.3957000000000002
24 pose 2,20,9.961744796019898,0.053376617673901235,2.4409618161834707,0.054534915555153114,7.5207829798364285,0.07630937248407633,3.095
