mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
cmpd 11,COc1cc(-c2nc(C)nc3[nH]cc(F)c23)c(Cl)cc1Cl,-10.244842179520829,0.038735334811548436,-9.19
cmpd 10,COc1cc(-c2nc(C)nc3[nH]cc(C(C)=O)c23)c(Cl)cc1Cl,-9.572911421312458,0.04335977009816791,-9.19
cmpd 8,COc1cc(-c2cc(C)nc(N)c2)c(Cl)cc1Cl,-2.762427913069936,0.043889846375237615,-6.86
cmpd 12,COc1cc(-c2nc(C)nc3[nH]cc(Cl)c23)c(Cl)cc1Cl,-10.978389158907392,0.03435822341468123,-9.19
cmpd 13,COc1cc(-c2nc(C)nc3[nH]cc(C#N)c23)c(Cl)cc1Cl,-11.687733107712008,0.0413993674662331,-10.15
cmpd 14,COc1cc(-c2nc(C)nc3[nH]c(C)cc23)c(Cl)cc1Cl,-8.809827785476687,0.04211009969864757,-7.820000000000001
cmpd 17,CCc1[nH]c2nc(C)nc(-c3cc(OC)c(Cl)cc3Cl)c2c1C#N,-11.345607313886116,0.048226857419072296,-10.74
cmpd 15,COc1cc(-c2nc(C)nc3[nH]c(C)c(Cl)c23)c(Cl)cc1Cl,-10.713043747958096,0.03748420456371673,-9.61
cmpd 16,COc1cc(-c2nc(C)nc3[nH]c(C)c(C#N)c23)c(Cl)cc1Cl,-10.605022804104529,0.04220383078083447,-10.33
cmpd 7,COc1cc(-c2cc(C)nc(N)n2)c(Cl)cc1Cl,-5.385054475611387,0.045588335264017274,-9.41
cmpd 9,COc1cc(-c2nc(C)nc3[nH]ccc23)c(Cl)cc1Cl,-8.305140092440558,0.04045739442236151,-7.920000000000001
