mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
cmpd 2 (methyl),cmpd 3 (Allyl),2.8816756382477,0.05059582622619528,3.6113047010324584,0.04887826306477459,-0.7296290627847584,0.07034928735773134,1.5199999999999994
cmpd 2 (methyl),cmpd 6 (ethyl),3.1842033843977373,0.0458437474005814,2.728173492072075,0.04252449763094644,0.45602989232566216,0.06252984946801553,1.3299999999999985
cmpd 2 (methyl),cmpd 7 (n-propyl),4.416254576313884,0.04884023261808423,4.575270745255647,0.04579587298431671,-0.15901616894176385,0.06695244808507189,1.7399999999999987
cmpd 3 (Allyl),cmpd 4 (Crotyl),3.654994504090906,0.04306142672763433,4.4286215750466065,0.039520475773109874,-0.7736270709557003,0.05844787829470275,-0.3700000000000014
cmpd 3 (Allyl),cmpd 6 (ethyl),1.9559983455920942,0.046913128485470634,1.2536415890721464,0.04846699564993531,0.7023567565199478,0.06745288201126119,-0.19000000000000075
cmpd 3 (Allyl),cmpd 8 (n-Butyl),12.073706301559055,0.0565457368491309,12.559665916410754,0.056084060813746256,-0.48595961485169864,0.07964196276568747,0.060000000000000775
cmpd 5 (1-Butenyl),cmpd 7 (n-propyl),0.7113467937133147,0.045459034691538974,-0.12670580019217728,0.04503010759149161,0.838052593905492,0.06398620495691125,1.8800000000000006
cmpd 5 (1-Butenyl),cmpd 8 (n-Butyl),9.213903921478824,0.051415193556274684,8.69364882868774,0.05329627955072933,0.5202550927910833,0.07405413926566616,1.720000000000002
cmpd 5 (1-Butenyl),cmpd 9 (methoxyethyl),-4.4021239196521185,0.04784438253665957,-5.333964489150322,0.04875373063531016,0.931840569498203,0.06830820734856534,2.309999999999999
cmpd 6 (ethyl),cmpd 7 (n-propyl),1.914200984915249,0.04167407321201207,2.529003964018169,0.04098408976273705,-0.61480297910292,0.05845018384710376,0.4100000000000002
cmpd 8 (n-Butyl),cmpd 4 (Crotyl),-9.651235190049599,0.05507495710161516,-9.2168621487953,0.05492779886641841,-0.43437304125429727,0.07778376429599217,-0.43000000000000216
cmpd 9 (methoxyethyl),cmpd 4 (Crotyl),5.112213330221651,0.05238029650938927,4.808221806687907,0.05333224440000584,0.30399152353374326,0.07475308525508156,-1.0199999999999996
cmpd 9 (methoxyethyl),cmpd 8 (n-Butyl),12.123211536638875,0.040679644075293946,12.154016064055483,0.04084871244986063,-0.030804527416608215,0.05764937771480275,-0.5899999999999974
