mol,smiles,pred_dg (kcal/mol),pred_dg_err (kcal/mol),exp_dg (kcal/mol)
CHEMBL3402741_400,CC[NH+](CC)CCCOC(=O)Nc1cccc(CN2N=C(c3ccc(OC)c(OC)c3)CSC2=O)c1,-9.154512322555828,0.07800860137301736,-8.782580807592769
CHEMBL3402763_90,CC[NH+](CC)CCCOC(=O)Nc1cccc(CN2N=C(c3ccc(Cl)cc3)CSC2=O)c1,-7.436135086931998,0.08501793582218017,-9.671852881970837
CHEMBL3402743_42,C[NH+](C)CCCOC(=O)Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1,-9.398980015679639,0.060083026785574443,-10.126213924596485
CHEMBL3402742_23,C[NH+](C)CCCOC(=O)Nc1cccc(CN2N=C(c3cc(F)cc(F)c3)CSC2=O)c1,-10.527519060332795,0.07154241489599811,-10.485209679933515
CHEMBL3402764_90,C[NH+](C)CCCOC(=O)Nc1cccc(Cn2nc(-c3ccc(F)cc3)ccc2=O)c1,-6.729706440886601,0.07566598677734665,-9.671852881970837
CHEMBL3402758_10,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccnc4)ccc3=O)c2)nc1,-11.833927980965026,0.06683022180459786,-10.981760748851649
CHEMBL3402762_1,C[N@H+]1CC[C@H](COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,-14.266805205536517,0.0715160715047382,-12.354480842458102
CHEMBL3402760_1,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccc(C#N)c4)ccc3=O)c2)nc1,-13.761475408554809,0.05113740390781172,-12.354480842458102
CHEMBL3402756_2.7,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cc(F)cc(F)c4)ccc3=O)c2)nc1,-12.529088227592721,0.06821895874110413,-11.762339135743344
CHEMBL3402757_6.5,C[NH+](C)CCCOc1cnc(-c2cccc(Cn3nc(-c4cccc(F)c4)ccc3=O)c2)nc1,-11.770767171028234,0.06669996443031388,-11.238578343433385
CHEMBL3402765_11-charged-pKa-8.1,O=C(Nc1cccc(Cn2nc(-c3cc(F)cc(F)c3)ccc2=O)c1)OCCC[NH+]1CCOCC1,-10.336993661625169,0.0845551890088737,-10.924940178206626
CHEMBL3402759_5.7,COc1cccc(-c2ccc(=O)n(Cc3cccc(-c4ncc(OCCC[NH+](C)C)cn4)c3)n2)c1,-11.925255925350902,0.06891537149154482,-11.316876239824595
