mol_a,mol_b,complex_pred_dg (kcal/mol),complex_pred_dg_err (kcal/mol),solvent_pred_dg (kcal/mol),solvent_pred_dg_err (kcal/mol),pred_ddg (kcal/mol),pred_ddg_err (kcal/mol),exp_ddg (kcal/mol)
2aa,3flw,18.128931445943586,0.06377865342884029,21.28238379533106,0.0622680990599167,-3.1534523493874747,0.08913491343874026,-1.4099999999999995
2aa,2v,11.373022151059683,0.06261746492059028,11.32560917760625,0.06371595215417829,0.047412973453432816,0.08933459280701342,0.29999999999999877
2aa,3fmh,16.047811092904062,0.06509540764494856,17.65505490408168,0.0641131605518854,-1.6072438111776177,0.09136689472896549,-1.5599999999999998
2aa,2z,6.77807505342022,0.0644485261090423,8.036455763618639,0.0642959704690699,-1.2583807101984181,0.09103617048287684,-1.0900000000000005
2aa,2y,-13.376381039217168,0.07009953614695714,-14.767863706652928,0.0667039849968071,1.3914826674357614,0.09676449029717885,-0.5099999999999998
2aa,3flq,-9.352331644208585,0.07028295009541126,-8.243811317914943,0.06870002143220011,-1.1085203262936416,0.09828217548924537,-0.66
2aa,3fmk,14.88017784164879,0.0639113421583622,18.08080553506296,0.06369430797532863,-3.2006276934141717,0.09023095103643348,-2.560000000000001
2bb,3fly,27.65870655064215,0.06888760711994457,28.25390281450523,0.06834155230458687,-0.5951962638630803,0.09703643741457339,-2.36
2c,3flz,2.93385338981609,0.06930969553654208,3.230789343215304,0.06866603446465289,-0.2969359533992138,0.09756463593161745,0.9700000000000006
2e,3flz,-0.15027012731753503,0.04013985449938586,1.1215923267913557,0.040028170185174086,-1.2718624541088908,0.05668740889831821,1.2099999999999986
2e,2n,-1.6387813539047724,0.06063387487689998,1.5738158897173198,0.05903323997692938,-3.2125972436220924,0.08462499751705341,-1.1499999999999997
2e,2m,-14.137854908791263,0.06456067484093396,-11.46836595051319,0.0636716179136053,-2.669488958278075,0.09067610304624338,-0.2600000000000017
2e,2r,-3.7592975876814356,0.06316772008504569,-2.092708541252593,0.06183255688938408,-1.6665890464288422,0.08839358546988352,-0.08999999999999947
2ee,2e,-5.598884045204227,0.05778940420197065,-6.327206569654023,0.055753260422244676,0.7283225244497952,0.0802996966727109,1.5599999999999998
2ee,2f,-7.145843946649575,0.06386879135702057,-8.091150459712217,0.062491016898500236,0.9453065130626426,0.08935518844709169,3.779999999999998
2f,3fln,2.4067242917478016,0.050202838313503965,2.536357342655956,0.04962913297585278,-0.1296330509081543,0.07059302950480804,-2.4000000000000004
2f,2c,-1.7737425381674357,0.07153198066844794,-0.41589342500216103,0.07178307066104599,-1.3578491131652746,0.10133920017387117,-1.9800000000000002
2f,3flz,2.1892951024361134,0.03877589345682824,2.7855369972622834,0.039029205171295475,-0.5962418948261702,0.05501680442990462,-1.0099999999999996
2f,2ff,5.485052700173372,0.06681215391193861,3.8582440192788003,0.06826326187434163,1.6268086808945716,0.09551825392079526,-2.9599999999999977
2f,2k,-9.960549877421977,0.0627423022075884,-10.501298296908539,0.06240051570031999,0.5407484194865617,0.08848966519302824,-2.07
2f,2m,-11.542337106427862,0.06752300308706677,-9.450352890162975,0.06873081659362361,-2.0919842162648865,0.09634978513480118,-2.48
2g,2i,-5.689470788373979,0.043447005071387546,-7.962300550750931,0.04590524097361176,2.272829762376952,0.063205485509713,0.6099999999999994
2g,2gg,-24.359903407943328,0.05805755645452882,-28.700787005397324,0.058875049649171306,4.340883597453997,0.0826858593271134,0.0
2ff,3fly,-12.938513329354612,0.06645010061790127,-11.645365863554655,0.06389947933265608,-1.2931474657999567,0.09218871585564985,0.01999999999999856
2ff,2x,0.386591035448193,0.06823319155837325,0.9185114552616555,0.06528662334702866,-0.5319204198134624,0.0944357539192569,1.2099999999999986
2g,2j,-8.72738493385151,0.049982916592747575,-10.596904896165809,0.05093612671189537,1.8695199623142993,0.07136372296571852,0.5800000000000007
2g,2k,-13.864630919381979,0.05878815584269791,-15.61927136801497,0.05826405420202125,1.7546404486329918,0.08276924114332213,0.10999999999999972
2g,3fln,-1.5995754859276834,0.039331457744897214,-2.4855053130538,0.03852594105845306,0.8859298271261167,0.05505644106531073,-0.22000000000000114
2g,2m,-15.632186627045737,0.06398181151083096,-14.66734209220674,0.0636916007826741,-0.9648445348389967,0.09027896883808008,-0.3000000000000005
2g,2x,1.9975048723758335,0.06374117606787243,-0.35903174198555304,0.06342470447797653,2.356536614361387,0.0899201349233539,0.4300000000000005
2gg,2ee,28.26041151741767,0.06445083568309902,32.34616815662417,0.06371014747962664,-4.085756639206495,0.09062501372207127,-1.5999999999999985
2h,2e,5.528124472298308,0.057405716957589774,8.88802721996928,0.05835194428516271,-3.3599027476709713,0.08185576180864511,-1.2199999999999989
2h,3fln,6.070336399304232,0.055313178318969376,9.538175329526702,0.05528798771669502,-3.4678389302224706,0.07820683653944534,-1.4000000000000012
2gg,3fmk,20.75391866568343,0.07399440983543781,24.27910002876673,0.07619289205173131,-3.525181363083303,0.10620983704959497,-1.17
2h,2k,-6.67104708550927,0.06492503474339958,-3.386822793797356,0.06464666133867338,-3.2842242917119138,0.0916212363956565,-1.0700000000000003
2j,2i,2.350140620569314,0.038746601500174185,2.5933238406331696,0.039467691497796845,-0.24318322006385582,0.05530820734735999,0.02999999999999869
2j,2e,6.614714803869202,0.04966912963379602,7.451488274205475,0.04970303544511437,-0.8367734703362726,0.07026673587862986,-0.6199999999999996
2i,2c,0.7138073814147694,0.07329057864176447,2.4346922066740433,0.07206956625456853,-1.7208848252592739,0.10278877029017473,-0.4100000000000002
2l,2t,-13.918681096907228,0.054118808637195155,-12.68803049354738,0.05328821512291323,-1.2306506033598472,0.07595050572112885,0.4100000000000002
2l,2q,-14.270489407062577,0.07078734991084266,-10.818032944712064,0.07128090753391145,-3.4524564623505145,0.10045803445348765,0.0
2n,2s,-11.936194212564036,0.058448201233773006,-12.803933384042242,0.05976636327640882,0.8677391714782058,0.08359551666657306,0.7399999999999994
2n,2r,-5.017659507419221,0.06445280156821344,-5.4730839759134415,0.06459479582147759,0.45542446849422036,0.09125048644916846,1.06
2l,2u,-6.431441065836026,0.0774871321357807,-4.773272224682348,0.07702061819828247,-1.6581688411536777,0.10925397601128088,0.0
2o,2n,29.16110253289407,0.061862075704708426,29.5959854673074,0.06170746262566241,-0.4348829344133297,0.08737692689830995,-1.359999999999999
2n,2u,-0.08238973003565006,0.07469037079283697,1.3531070712356275,0.07526474615263995,-1.4354968012712774,0.10603505789404184,-0.4100000000000002
2o,2p,0.40874637784872087,0.06391089581421165,1.4975560886830732,0.06319502929488247,-1.0888097108343524,0.08987888701667411,-0.709999999999999
2p,2n,28.59967111892258,0.06699940141388672,28.06236253085606,0.06609556752211372,0.5373085880665189,0.09411452510579554,-0.6499999999999999
2r,2s,-7.195092144680676,0.05460768984656346,-7.122158715983625,0.055041647327013624,-0.07293342869705173,0.07753439708187466,-0.32000000000000073
2q,2n,12.076716171704303,0.0756736400225379,9.011663637128583,0.07634516767917648,3.0650525345757207,0.10749457857130389,0.4100000000000002
2p,2s,20.015887992414804,0.09064606287130314,17.558536337264826,0.07939382518046544,2.4573516551499788,0.12049932859088698,0.08999999999999947
2t,2f,9.145806437963719,0.05830917821277642,7.275981571013572,0.058720791057903225,1.8698248669501467,0.08275319671357263,3.369999999999998
2q,2o,-19.157048446152746,0.07896088832229002,-22.81259841434083,0.07888857408293712,3.6555499681880814,0.11161643698615456,1.7699999999999991
2v,2bb,-25.52903510766761,0.06312331895968613,-24.654425295365176,0.06342345360082573,-0.8746098123024346,0.08948233268719791,-0.08999999999999947
